time, સમય, time, 
year, વર્ષ, year, 
people, લોકો, people, 
way, માર્ગ, way, 
day, દિવસ, day, 
man, માણસ, man, 
thing, વસ્તુ, thing, 
woman, સ્ત્રી, woman, 
life, જીવન, life, 
child, બાળક, baby, બેબી, baby, 
world, દુનિયા, the world, વિશ્વ, world, 
school, શાળા, school, 
state, રાજ્ય, state, 
family, કુટુંબ, family, 
student, વિદ્યાર્થી, student, 
group, જૂથ, group, 
country, દેશ, country, 
problem, સમસ્યા, problem, 
hand, હાથ, hand, 
part, ભાગ, part, 
place, સ્થળ, place, 
case, કેસ, case, 
week, સપ્તાહ, week, 
company, કંપની, company, 
system, સિસ્ટમ, system, 
program, પ્રોગ્રામ, program, 
question, પ્રશ્ન, question, 
work, કામ, work, 
government, સરકાર, government, 
number, નંબર, number, 
night, રાત, night, 
mr, શ્રીમાન, mr., શ્રીમાન., mr., 
point, બિંદુ, point, 
home, ઘર, home, 
water, પાણી, water, 
room, રૂમ, room, 
mother, માતા, mother, 
area, વિસ્તાર, area, 
money, મની, money, 
story, વાર્તા, story, 
fact, હકીકત, fact, 
month, માસ, mass, માસ, 
lot, લોટ, lot, 
right, અધિકાર, right, 
study, અભ્યાસ, study, 
book, પુસ્તક, book, 
eye, આંખ, eye, 
job, નોકરી, jobs, નોકરીઓ, jobs, 
word, શબ્દ, word, 
business, બિઝનેસ, business, 
issue, મુદ્દો, issue, 
side, બાજુ, side, 
kind, પ્રકારની, kind of, પ્રકારની, 
head, વડા, head, 
house, ઘર, home, હોમ, home, 
service, સેવા, service, 
friend, મિત્ર, friend, 
father, પિતા, father, 
power, શક્તિ, power, 
hour, કલાક, hours, કલાક, 
game, રમત, game, 
line, રેખા, line, 
end, અંત, the end, સમાપ્ત, finish, સમાપ્ત, 
member, સભ્ય, member, 
law, કાયદો, law, 
car, કાર, the car, કાર, 
city, શહેર, city, 
community, સમુદાય, community, 
name, નામ, name, 
president, પ્રમુખ, president, 
team, ટીમ, team, 
minute, મિનિટ, minutes, મિનિટ, 
idea, વિચાર, the idea, વિચાર, 
kid, બાળક, baby, બેબી, baby, 
body, શરીર, body, 
information, માહિતી, information, 
back, પીઠ, backs, પીઠ, 
parent, માતાપિતા, mother father, માતા પિતા, mother father, 
face, ચહેરો, face, 
others, અન્ય, other, અન્ય, 
level, સ્તર, levels, સ્તર, 
office, ઓફિસ, office, 
door, બારણું, door, 
health, આરોગ્ય, health, 
person, વ્યક્તિ, person, 
art, કલા, art, 
war, યુદ્ધ, war, 
history, ઇતિહાસ, history, 
party, પાર્ટી, party, 
result, પરિણામ, result, 
change, ફેરફાર, change, 
morning, સવારે, morning, 
reason, કારણ, the reason, કારણ, 
research, સંશોધન, research, 
girl, છોકરી, girl, 
guy, વ્યક્તિ, person, વ્યક્તિ, 
food, ખોરાક, food, 
moment, ક્ષણ, moment, 
air, હવા, air, 
teacher, શિક્ષક, teacher, 
force, બળ, force, 
education, શિક્ષણ, education, 
foot, પગ, feet, ફીટ, fit, ફિટ, fit, 
boy, છોકરો, boy, 
age, ઉંમર, age, 
policy, નીતિ, policy, 
process, પ્રક્રિયા, process, 
music, સંગીત, music, 
market, બજાર, market, 
sense, અર્થમાં, sense in, સેન્સ ઇન, sense in, 
nation, રાષ્ટ્ર, nation, 
plan, યોજના, plan, 
college, કૉલેજ, college, 
interest, રસ, interest, 
death, મૃત્યુ, death, 
experience, અનુભવ, experience, 
effect, અસર, effect, 
use, વાપરવુ, use it, તેનો ઉપયોગ, use it, 
class, વર્ગ, class, 
control, નિયંત્રણ, control, 
care, સંભાળ, care, 
field, ક્ષેત્ર, field, 
development, વિકાસ, development, 
role, ભૂમિકા, role, 
effort, પ્રયત્ન, try, પ્રયત્ન કરો, try, 
rate, દર, rate, 
heart, હૃદય, heart, 
drug, ડ્રગ, drugs, દવા, medicine, દવા, 
show, શો, show, 
leader, નેતા, leader, 
light, પ્રકાશ, light, 
voice, અવાજ, sound, સાઉન્ડ, sound, 
wife, પત્ની, wife, 
police, પોલીસ, police, 
mind, મન, mind, 
price, કિંમત, value, મૂલ્ય, value, 
report, અહેવાલ, report, 
decision, નિર્ણય, decision, 
son, પુત્ર, son, 
view, દૃશ્ય, view, 
relationship, સંબંધ, relationship, 
town, નગર, town, 
road, માર્ગ, way, વે, way, 
arm, હાથ, hand, હેન્ડ, hand, 
difference, તફાવત, the difference, તફાવત, 
value, મૂલ્ય, value, 
building, મકાન, building, 
action, ક્રિયા, action, 
model, મોડેલ, model, 
season, મોસમ, season, 
society, સમાજ, society, 
tax, ટેક્સ, taxes, કર, tax, 
director, ડિરેક્ટર, director, 
position, સ્થિતિ, status, સ્થિતિ, 
player, ખેલાડી, player, 
record, રેકોર્ડ, record, 
paper, કાગળ, paper, 
space, જગ્યા, space, 
ground, જમીન, land, જમીન, 
form, ફોર્મ, form, 
event, ઇવેન્ટ, event, 
official, અધિકારી, officer, અધિકારી, 
matter, બાબત, matter, 
center, કેન્દ્ર, center, 
couple, દંપતી, couple, 
site, સાઇટ, site, 
project, પ્રોજેક્ટ, project, 
activity, પ્રવૃત્તિ, activity, 
star, તારો, star, 
table, કોષ્ટક, table, 
need, જરૂર, need to, જરૂર છે, is needed, જરૂરી છે, required, આવશ્યક છે, is essential, આવશ્યક છે, 
court, કોર્ટ, court, 
american, અમેરિકન, american, 
oil, તેલ, oil, 
situation, પરિસ્થિતિ, situation, 
cost, ખર્ચ, expenses, ખર્ચ, 
industry, ઉદ્યોગ, industry, 
figure, આંકડો, figure, 
street, શેરી, street, 
image, છબી, image, 
phone, ફોન, phone, 
data, માહિતી, information, માહિતી, 
picture, ચિત્ર, picture, 
practice, પ્રથા, practice, 
piece, ભાગ, part, ભાગ, 
land, જમીન, land, 
product, ઉત્પાદન, product, 
doctor, ડૉક્ટર, doctor, 
wall, દિવાલ, wall, 
patient, દર્દી, patient, 
worker, કાર્યકર, worker, 
news, સમાચાર, news, 
test, પરીક્ષણ, test, 
movie, મૂવી, movie, 
north, ઉત્તર, north, 
love, પ્રેમ, love, 
support, આધાર, support, 
technology, ટેકનોલોજી, technology, 
step, પગલું, step, 
baby, બાળક, baby, 
computer, કમ્પ્યુટર, computer, 
type, પ્રકાર, style, પ્રકાર, 
attention, ધ્યાન, attention, 
film, ફિલ્મ, movie, મૂવી, movie, 
republican, પ્રજાસત્તાક, republic of, રિપબ્લિક ઓફ, of the republic, પ્રજાસત્તાક, 
tree, વૃક્ષ, tree, 
source, સ્રોત, source, 
organization, સંસ્થા, organization, 
hair, વાળ, hair, 
look, જુઓ, see, જુઓ, 
century, સદી, century, 
evidence, પુરાવા, evidence, 
window, વિન્ડો, window, 
culture, સંસ્કૃતિ, culture, 
chance, તક, chance, 
brother, ભાઈ, brother, 
energy, ઊર્જા, energy, 
period, સમયગાળો, duration, સમયગાળો, 
course, કોર્સ, of course, અલબત્ત, of course, 
summer, ઉનાળો, summer, 
plant, પ્લાન્ટ, plant, 
opportunity, તક, chance, તક, 
term, શબ્દ, word, શબ્દ, 
letter, પત્ર, letter, 
condition, શરત, condition, 
choice, પસંદગી, choice, 
rule, નિયમ, rule, 
daughter, દીકરી, daughter, 
administration, વહીવટ, administration, 
south, દક્ષિણ, south, 
husband, પતિ, husband, 
congress, કોંગ્રેસ, congress, 
floor, ફ્લોર, floor, 
campaign, અભિયાન, campaign, 
material, સામગ્રી, content, સામગ્રી, 
population, વસ્તી, population, 
call, કૉલ કરો, call, 
economy, અર્થતંત્ર, economy, 
hospital, હોસ્પિટલ, hospital, 
church, ચર્ચ, the church, ચર્ચ, 
risk, જોખમ, risk, 
fire, આગ, fire, 
future, ભાવિ, future, 
defense, સંરક્ષણ, defense, 
security, સુરક્ષા, security, 
bank, બેંક, bank, 
west, પશ્ચિમ, west, 
sport, રમત, game, રમત, 
