time, zeit, time, 
year, jahr, year, 
people, menschen, people, 
way, weg, path, pfad, path, 
day, tag, day, 
man, mann, man, 
thing, ding, thing, 
woman, frau, mrs, frau, 
life, leben, life, 
child, kind, child, 
world, welt, world, 
school, schule, school, 
state, zustand, state, 
family, familie, family, 
student, schüler, student, 
group, gruppe, group, 
country, land, country, 
problem, problem, 
hand, hand, 
part, teil, part, 
place, ort, place, 
case, fall, case, 
week, woche, week, 
company, unternehmen, companies, firmen, companies, 
system, system, 
program, programm, program, 
question, frage, question, 
work, arbeit, job, job, 
government, regierung, government, 
number, nummer, number, 
night, nacht-, night, 
mr, herr, sir, herr, 
point, punkt, point, 
home, zuhause, at home, zuhause, 
water, wasser, water, 
room, zimmer, room, 
mother, mutter, mother, 
area, bereich, area, 
money, geld, money, 
story, geschichte, story, 
fact, tatsache, fact, 
month, monat, month, 
lot, menge, amount, menge, 
right, recht, law, recht, 
study, studie, study, 
book, buch, book, 
eye, auge, eye, 
job, job, 
word, wort, word, 
business, geschäft, business, 
issue, problem, problem, 
side, seite, page, seite, 
kind, nett, kind, 
head, kopf, head, 
house, haus, house, 
service, bedienung, service, 
friend, freund, friend, 
father, vater, father, 
power, leistung, power, 
hour, stunde, hour, 
game, spiel, game, 
line, linie, line, 
end, ende, the end, das ende, the end, 
member, mitglied, member, 
law, recht, law, 
car, auto, automobile, automobil, automobile, 
city, stadt, city, 
community, gemeinschaft, community, 
name, name, 
president, präsident, president, 
team, mannschaft, team, 
minute, minute, 
idea, idee, idea, 
kid, kind, child, kind, 
body, karosserie, body, 
information, information, 
back, zurück, back, 
parent, elternteil, parent, 
face, gesicht, face, 
others, andere, other, andere, 
level, niveau, level, 
office, büro, office, 
door, tür, door, 
health, gesundheit, health, 
person, person, 
art, kunst, art, 
war, krieg, war, 
history, geschichte, story, geschichte, 
party, party, 
result, ergebnis, result, 
change, veränderung, change, 
morning, morgen, tomorrow, morgen, 
reason, grund, reason, 
research, forschung, research, 
girl, mädchen, girl, 
guy, kerl, guy, 
food, lebensmittel, foods, lebensmittel, 
moment, moment, 
air, luft, air, 
teacher, lehrer, teacher, 
force, macht, makes, macht, 
education, bildung, education, 
foot, fuß, foot, 
boy, junge, boy, 
age, alter, older, älter, older, 
policy, politik, politics, politik, 
process, verarbeiten, to process, herstellen, produce, produzieren, to produce, produzieren, 
music, musik-, music, 
market, markt, market, 
sense, sinn, sense, 
nation, nation, 
plan, planen, to plan, planen, 
college, hochschule, university, universität, university, 
interest, interesse, interest, 
death, tod, death, 
experience, erfahrung, experience, 
effect, bewirken, cause, ursache, reason, grund, reason, 
use, benutzen, use, 
class, klasse, class, 
control, steuerung, control, 
care, pflege, maintenance, instandhaltung, maintenance, 
field, feld, field, 
development, entwicklung, development, 
role, rolle, role, 
