time, temps, time, 
year, an, year, 
people, gens, people, 
way, façon, way, 
day, journée, day, 
man, homme, man, 
thing, chose, thing, 
woman, femme, wife, femme, 
life, la vie, life, 
child, enfant, child, 
world, monde, world, 
school, école, school, 
state, etat, state, 
family, famille, family, 
student, étudiant, student, 
group, groupe, group, 
country, pays, country, 
problem, problème, problem, 
hand, main, hand, 
part, partie, part, 
place, endroit, in law, en loi, in law, 
case, cas, case, 
week, la semaine, the week, la semaine, 
company, compagnie, company, 
system, système, system, 
program, programme, program, 
question, question, 
work, travail, job, emploi, employment, emploi, 
government, gouvernement, government, 
number, nombre, number, 
night, nuit, night, 
mr, m, m, 
point, point, 
home, maison, house, maison, 
water, eau, water, 
room, chambre, bedroom, chambre, 
mother, mère, mother, 
area, région, region, région, 
money, argent, money, 
story, récit, story, 
fact, fait, fact, 
month, mois, month, 
lot, lot, 
right, droite, right, 
study, étude, study, 
book, livre, book, 
eye, œil, eye, 
job, emploi, employment, emploi, 
word, mot, word, 
business, entreprise, business, 
issue, problème, problem, problème, 
side, côté, side, 
kind, gentil, nice, agréable, pleasant, agréable, 
head, tête, head, 
house, maison, house, 
service, un service, a service, un service, 
friend, ami, friend, 
father, père, father, 
power, puissance, power, 
hour, heure, hour, 
game, jeu, thu, jeu, 
line, ligne, line, 
end, fin, end, 
member, membre, member, 
law, loi, law, 
car, voiture, car, 
city, ville, city, 
community, communauté, community, 
name, prénom, first name, prénom, 
president, président, president, 
team, équipe, team, 
minute, minute, 
idea, idée, idea, 
kid, enfant, child, enfant, 
body, corps, body, 
information, information, 
back, arrière, back, 
parent, parent, 
face, visage, face, 
others, autres, other, autre, other, 
level, niveau, level, 
office, bureau, office, 
door, porte, door, 
health, santé, health, 
person, la personne, the person, la personne, 
art, art, 
war, guerre, war, 
history, histoire, history, 
party, fête, party, 
result, résultat, result, 
change, changement, change, 
morning, matin, morning, 
reason, raison, reason, 
research, recherche, research, 
girl, fille, girl, 
guy, gars, guys, les gars, guys, 
food, aliments, food, 
moment, moment, 
air, air, 
teacher, prof, teacher, 
force, obliger, force, 
education, éducation, education, 
foot, pied, foot, 
boy, garçon, boy, 
age, âge, age, 
policy, politique, policy, 
process, processus, process, 
music, la musique, the music, la musique, 
market, marché, market, 
sense, sens, meaning, sens, 
nation, nation, 
plan, plan, 
college, université, university, université, 
interest, intérêt, interest, 
death, décès, death, 
experience, expérience, experience, 
effect, effet, effect, 
use, utilisation, use, 
class, classe, class, 
control, contrôle, control, 
care, se soucier, care, 
field, champ, field, 
development, développement, development, 
role, rôle, role, 
effort, effort, 
rate, taux, rate, 
heart, cœur, heart, 
drug, drogue, drug, 
show, montrer, show, 
leader, chef, chief, chef, 
light, lumière, light, 
voice, voix, voice, 
wife, femme, wife, 
police, police, 
mind, esprit, mind, 
price, prix, price, 
report, rapport, report, 
decision, décision, decision, 
son, fils, son, 
view, vue, view, 
relationship, relation, relationship, 
town, ville, city, ville, 
road, route, road, 
arm, bras, arms, bras, 
difference, différence, difference, 
value, valeur, value, 
building, bâtiment, building, 
action, action, 
model, modèle, model, 
season, saison, season, 
society, société, society, 
tax, impôt, tax, 
director, réalisateur, director, 
position, position, 
player, joueur, player, 
record, record, 
paper, papier, paper, 
space, espace, space, 
ground, sol, ground, 
form, forme, form, 
event, un événement, event, 
official, officiel, official, 
matter, matière, material, matériel, equipment, équipement, equipment, 
center, centre, center, 
couple, couple, 
site, site, 
project, projet, project, 
activity, activité, activity, 
star, étoile, star, 
table, table, 
need, avoir besoin, need, 
court, tribunal, court, 
american, américain, american, 
oil, pétrole, oil, 
situation, situation, 
cost, coût, cost, 
industry, industrie, industry, 
figure, figure, 
street, rue, street, 
image, image, 
phone, téléphone, phone, 
data, les données, the data, les données, 
picture, image, picture, 
practice, entraine toi, practice, 
piece, pièce, piece, 
land, terre, earth, terre, 
product, produit, product, 
doctor, docteur, doctor, 
wall, mur, wall, 
patient, patient, 
worker, ouvrier, worker, 
news, nouvelles, new, nouveau, new, 
test, tester, test, 
movie, film, movie, 
north, nord, north, 
love, amour, love, 
support, soutien, support, 
technology, la technologie, technology, 
step, étape, step, 
baby, bébé, baby, 
computer, ordinateur, computer, 
type, type, 
attention, attention, 
film, film, 
republican, républicain, republican, 
tree, arbre, tree, 
source, la source, source, 
organization, organisation, organization, 
hair, cheveux, hair, 
look, regardez, look, 
century, siècle, century, 
evidence, preuve, evidence, 
window, fenêtre, window, 
culture, culture, 
chance, chance, 
brother, frère, brother, 
energy, énergie, energy, 
period, période, period, 
course, cours, course, 
summer, été, summer, 
plant, plante, plant, 
opportunity, opportunité, opportunity, 
term, terme, term, 
letter, lettre, letter, 
condition, condition, 
choice, choix, choice, 
rule, règle, rule, 
daughter, fille, girl, fille, 
administration, administration, 
south, sud, south, 
husband, mari, husband, 
congress, congrès, congress, 
floor, sol, ground, sol, 
campaign, campagne, campaign, 
material, matériel, equipment, équipement, equipment, 
population, population, 
call, appel, call, 
economy, économie, economy, 
hospital, hôpital, hospital, 
church, église, church, 
risk, risque, risk, 
fire, feu, fire, 
future, avenir, to come up, à venir, to come up, 
defense, la défense, defense, 
security, sécurité, security, 
bank, banque, bank, 
west, ouest, where is, où se trouve, where is, 
sport, sport, 
board, planche, board, 
subject, assujettir, subject, 
officer, officier, officer, 
rest, du repos, rest, 
behavior, comportement, behavior, 
performance, performance, 
top, haut, top, 
goal, objectif, goal, 
second, seconde, second, 
bed, lit, bed, 
order, commande, order, 
author, auteur, author, 
blood, du sang, some blood, du sang, 
agency, agence, agency, 
nature, la nature, nature, 
color, couleur, color, 
store, le magasin, the shop, la boutique, the shop, 
sound, du son, sound, 
movement, mouvement, movement, 
page, page, 
race, course, race, 
concern, préoccupation, concern, 
series, séries, series, 
language, la langue, language, 
response, réponse, reply, répondre, reply, 
animal, animal, 
factor, facteur, postman, facteur, 
decade, décennie, decade, 
article, article, 
east, est, east, 
artist, artiste, artist, 
scene, scène, scene, 
stock, stock, 
career, carrière, career, 
treatment, traitement, treatment, 
approach, approche, approach, 
size, taille, cut, couper, cut, 
dog, chien, dog, 
fund, fonds, funds, fonds, 
media, médias, media, 
sign, signe, sign, 
thought, pensée, thought, 
list, liste, listing, inscription, registration, enregistrement, recording, enregistrement, 
individual, individuel, individual, 
quality, qualité, quality, 
pressure, pression, pressure, 
answer, répondre, reply, répondre, 
resource, ressource, resource, 
meeting, réunion, meeting, 
disease, maladie, disease, 
success, succès, success, 
cup, coupe, chopped off, coupé, chopped off, 
amount, montant, amount, 
ability, aptitude, aptitude, 
staff, personnel, staff, 
character, personnage, character, 
growth, croissance, growth, 
loss, perte, loss, 
degree, degré, degree, 
attack, attaque, attack, 
region, région, region, 
television, télévision, television, 
box, boîte, box, 
tv, la télé, tv, 
training, entraînement, training, 
trade, commerce, trade, 
deal, traiter, treat, traiter, 
election, élection, election, 
feeling, sentiment, feeling, 
standard, la norme, standard, 
bill, facture, bill, 
message, message, 
analysis, une analyse, analysis, 
benefit, avantage, advantage, avantage, 
sex, sexe, sex, 
lawyer, avocat, lawyer, 
section, section, 
glass, verre, glass, 
skill, compétence, skill, 
sister, sœur, sister, 
professor, professeur, professor, 
operation, opération, surgery, chirurgie, surgery, 
crime, la criminalité, criminality, criminalité, criminality, 
stage, étape, step, étape, 
authority, autorité, authority, 
design, conception, design, 
sort, trier, sort, 
one, un, a, une, a, 
knowledge, connaissance, knowledge, 
gun, pistolet, gun, 
station, gare, station, 
strategy, stratégie, strategy, 
truth, vérité, truth, 
song, chanson, song, 
example, exemple, example, 
environment, environnement, environment, 
leg, jambe, leg, 
public, publique, public, 
executive, exécutif, executive, 
set, ensemble, together, ensemble, 
rock, roche, rock, 
note, remarque, note, 
manager, directeur, director, réalisateur, director, 
help, aidez-moi, help me, aidez moi, help me, 
network, réseau, network, 
science, science, 
memory, mémoire, memory, 
card, carte, map, carte, 
seat, siège, seat, 
cell, cellule, cell, 
trial, procès, trial, 
expert, expert, 
spring, printemps, spring, 
firm, raffermir, strengthen, renforcer, to reinforce, renforcer, 
democrat, démocrate, democrat, 
radio, radio, 
management, la gestion, management, 
ball, ballon, ball, 
talk, parler, speak, parler, 
theory, théorie, theory, 
impact, impact, 
statement, déclaration, declaration, déclaration, 
charge, charge, 
direction, direction, 
weapon, arme, armed, armé, armed, 
employee, employé, employee, 
peace, paix, peace, 
base, base, 
pain, douleur, pain, 
play, jouer, to play, jouer, 
measure, mesure, measured, mesuré, measured, 
interview, entretien, interview, 
chair, chaise, chair, 
fish, poisson, fish, 
camera, caméra, camera, 
structure, structure, 
politics, politique, policy, politique, 
bit, bit, 
weight, poids, weight, 
candidate, candidat, candidate, 
production, production, 
trip, voyage, trip, 
evening, soir, evening, 
conference, conférence, conference, 
unit, unité, unit, 
style, style, 
adult, adulte, adult, 
range, gamme, range, 
past, passé, past, 
edge, bord, edge, 
writer, écrivain, writer, 
trouble, difficulté, difficulty, difficulté, 
challenge, défi, challenge, 
fear, peur, fear, 
shoulder, épaule, shoulder, 
institution, institution, 
sea, mer, sea, 
dream, rêver, dream, 
bar, bar, 
property, propriété, property, 
stuff, des trucs, things, des choses, things, 
detail, détail, detail, 
method, méthode, method, 
magazine, magazine, 
hotel, un hôtel, hotel, 
soldier, soldat, soldier, 
cause, cause, 
bag, sac, bag, 
heat, chaleur, heat, 
fall, tomber, fall, 
marriage, mariage, wedding, mariage, 
surface, surface, 
purpose, objectif, goal, objectif, 
pattern, modèle, model, modèle, 
skin, peau, skin, 
agent, agent, 
owner, propriétaire, owner, 
machine, machine, 
gas, gaz, gas, 
generation, génération, generation, 
cancer, cancer, 
item, article, article, 
reality, réalité, reality, 
coach, entraîneur, coach, 
mrs, madame, mrs, 
yard, cour, court, tribunal, court, 
violence, la violence, violence, 
investment, investissement, investment, 
discussion, discussion, 
finger, doigt, finger, 
garden, jardin, garden, 
collection, collection, 
task, tâche, task, 
partner, partenaire, partner, 
kitchen, cuisine, cooked, cuit, cooked, 
consumer, consommateur, consumer, 
shot, coup, stroke, accident vasculaire cérébral, stroke, 
budget, budget, 
painting, la peinture, the painting, la peinture, 
scientist, scientifique, scientist, 
agreement, accord, agreement, 
capital, capitale, capital city, capitale, 
mouth, bouche, stuffy, bouché, stuffy, 
victim, victime, victim, 
newspaper, journal, newspaper, 
threat, menace, threat, 
responsibility, responsabilité, responsibility, 
attorney, avocat, lawyer, avocat, 
score, but, goal, objectif, goal, 
account, compte, account, 
break, pause, pause, 
audience, public, public, 
dinner, dîner, having dinner, diner, having dinner, 
vote, vote, 
debate, débat, debate, 
citizen, citoyen, citizen, 
majority, majorité, majority, 
wind, vent, wind, 
mission, mission, 
customer, client, customer, 
speech, discours, speech, 
option, option, 
participant, participant, 
forest, forêt, forest, 
video, vidéo, video, 
senate, sénat, senate, 
reform, réforme, reform, 
access, accès, access, 
restaurant, restaurant, 
judge, juge, judge, 
relation, relation, 
bird, oiseau, bird, 
opinion, opinion, 
credit, crédit, credit, 
corner, coin, corner, 
version, version, 
safety, sécurité, security, sécurité, 
neighborhood, quartier, district, district, 
act, acte, act, 
troop , troupe , troop , 
income, le revenu, income, 
species, espèce, species, 
track, piste, track, 
hope, espérer, hope, 
sky, ciel, sky, 
freedom, liberté, freedom, 
plane, avion, plane, 
object, objet, object, 
attitude, attitude, 
labor, la main d'oeuvre, workforce, la main d'oeuvre, 
concept, concept, 
client, client, 
