time, సమయం, time, 
year, సంవత్సరం, year, 
people, ప్రజలు, people, 
way, మార్గం, way, 
day, రోజు, day, 
man, మనిషి, man, 
thing, విషయం, thing, 
woman, మహిళ, woman, 
life, జీవితం, life, 
child, పిల్లల, children, పిల్లలు, children, 
world, ప్రపంచ, world, 
school, పాఠశాల, school, 
state, రాష్ట్ర, country, దేశం, country, 
family, కుటుంబం, family, 
student, విద్యార్ధి, student, 
group, సమూహం, group, 
country, దేశంలో, country, 
problem, సమస్య, the problem, సమస్య, 
hand, చేతి, hand, 
part, భాగం, part, 
place, స్థానం, location, స్థానం, 
case, కేసు, case, 
week, వారం, week, 
company, కంపెనీ, company, 
system, వ్యవస్థ, system, 
program, కార్యక్రమం, the program, ఒక కార్యక్రమం, a program, ఒక కార్యక్రమం, 
question, ప్రశ్న, question, 
work, పని, working, వర్కింగ్, working, 
government, ప్రభుత్వం, government, 
number, సంఖ్య, no, తోబుట్టువుల, no, 
night, రాత్రి, night, 
mr, శ్రీ, sri, శ్రీ, 
point, పాయింట్, point, 
home, హోమ్, home, 
water, నీటి, water, 
room, గది, room, 
mother, తల్లి, mother, 
area, ప్రాంతం, area, 
money, డబ్బు, money, 
story, కథ, story, 
fact, నిజానికి, in fact,, నిజానికి,, in fact,, 
month, నెల, month, 
lot, చాలా, most, అత్యంత, the, ది, the, 
right, కుడి, right, 
study, అధ్యయనం, the study, అధ్యయనం, 
book, పుస్తకం, book, 
eye, కంటి, eye, 
job, ఉద్యోగం, job, 
word, పదం, the word, ఆ పదం, that word, ఆ పదం, 
business, వ్యాపార, business, 
issue, సమస్య, the problem, సమస్య, 
side, వైపు, to, టు, to, 
kind, రకం, type, రకం, 
head, తల, head, 
house, హౌస్, house, 
service, సేవ, service, 
friend, స్నేహితుడు, friend, 
father, తండ్రి, father, 
power, శక్తి, energy, శక్తి, 
hour, గంట, hour, 
game, గేమ్, game, 
line, లైన్, line, 
end, ముగింపు, end, 
member, సభ్యుడు, member, 
law, చట్టం, act, చట్టం, 
car, కారు, car, 
city, నగరం, city, 
community, సంఘం, community, 
name, పేరు, name, 
president, అధ్యక్షుడు, president, 
team, జట్టు, team, 
minute, నిమిషం, minute, 
idea, ఆలోచన, thought, థాట్, thought, 
kid, పిల్లవాడిని, kid, 
body, శరీర, body, 
information, సమాచారం, information, 
back, తిరిగి, return, రిటర్న్, return, 
parent, పేరెంట్, parent, 
face, ముఖం, face, 
others, ఇతరులు, others, 
level, స్థాయి, level, 
office, ఆఫీసు, office, 
door, తలుపు, the door, ఆ తలుపు, that door, ఆ తలుపు, 
health, ఆరోగ్య, health, 
person, వ్యక్తి, person, 
art, ఆర్ట్, art, 
war, యుద్ధం, war, 
history, చరిత్ర, history, 
party, పార్టీ, party, 
result, ఫలితంగా, as a result,, ఫలితంగా,, as a result,, 
change, మార్పు, change, 
morning, ఉదయం, morning, 
reason, కారణం, cause, కాజ్, cause, 
research, పరిశోధన, research, 
girl, అమ్మాయి, girl, 
guy, వ్యక్తి, person, వ్యక్తి, 
food, ఆహార, food, 
moment, క్షణం, moment, 
air, ఎయిర్, air, 
teacher, గురువు, teacher, 
force, ఫోర్స్, force, 
education, చదువు, read, చదవండి, read, 
foot, ఫుట్, foot, 
boy, బాయ్, boy, 
age, వయస్సు, age, 
policy, విధానం, policy, 
process, ప్రక్రియ, process, 
music, సంగీతం, music, 
market, మార్కెట్, market, 
sense, భావం, meaning, అర్థం, meaning, 
nation, దేశం, country, దేశం, 
plan, ప్రణాళిక, plan, 
college, కాలేజ్, college, 
interest, వడ్డీ, interest, 
death, మరణం, death, 
experience, అనుభవం, experience, 
effect, ప్రభావం, effect, 
use, వా డు, please, దయచేసి, please, 
class, తరగతి, classroom, రూమ్, room, గది, room, 
control, నియంత్రణ, regulation, నియంత్రణ, 
care, సంరక్షణ, care, 
field, ఫీల్డ్, field, 
development, అభివృద్ధి, development, 
role, పాత్ర, role, 
effort, ప్రయత్నంతో, effort, 
rate, రేటు, rate, 
heart, గుండె, heart, 
drug, ఔషధ, medicine, మెడిసిన్, beauty, మెడిసిన్, 
show, షో, show, 
leader, నాయకుడు, leader, 
light, కాంతి, light, 
voice, వాయిస్, the voice, వాణి, vani, వాణి, 
wife, భార్య, wife, 
police, పోలీసు, police, 
mind, మనసు, heartstrings, మనసు, 
price, ధర, price, 
report, నివేదిక, report, 
decision, నిర్ణయం, decision, 
son, కుమారుడు, son, 
view, వీక్షణ, view, 
relationship, సంబంధం, relationship, 
town, పట్టణం, town, 
road, రహదారి, the road, రోడ్డు, the road, 
arm, చేయి, video, వీడియో, video, 
difference, తేడా, difference, 
value, విలువ, value, 
building, భవనం, building, 
action, చర్య, the action, చర్య, 
model, మోడల్, model, 
season, బుతువు, butuvu, butuvu, 
society, సమాజం, community, సంఘం, community, 
tax, పన్ను, tax, 
director, దర్శకుడు, director, 
position, స్థానం, location, స్థానం, 
player, క్రీడాకారుడు, player, 
record, రికార్డు, record, 
paper, కాగితం, paper, 
space, స్థలం, place, ప్లేస్, place, 
ground, గ్రౌండ్, ground, 
form, రూపం, form, 
event, ఈవెంట్, event, 
official, అధికారిక, official, 
matter, విషయం, thing, విషయం, 
center, సెంటర్, center, 
couple, జంట, couple, 
site, సైట్, on, పై, on, 
project, ప్రాజెక్ట్, project, 
activity, కార్యకలాపాలు, operations, ఆపరేషన్స్, operations, 
star, స్టార్, star, 
table, పట్టిక, table, 
need, అవసరం, need, 
court, కోర్టు, court, 
american, అమెరికన్, american, 
oil, ఆయిల్, oil, 
situation, పరిస్థితి, the situation, పరిస్థితి, 
cost, ఖరీదు, expensive, ఖరీదైన, expensive, 
industry, పరిశ్రమ, industry, 
figure, ఫిగర్, figure, 
street, వీధి, street, 
image, చిత్రం, image, 
