time, čas, time, 
year, rok, year, 
people, lidé, people, 
way, cesta, way, 
day, den, day, 
man, muž, man, 
thing, věc, thing, 
woman, žena, woman, 
life, život, life, 
child, dítě, child, 
world, svět, world, 
school, škola, school, 
state, stát, state, 
family, rodina, family, 
student, student, 
group, skupina, group, 
country, země, country, 
problem, problém, problem, 
hand, ruka, hand, 
part, část, part, 
place, místo, place, 
case, pouzdro, housing, bydlení, housing, 
week, týden, week, 
company, společnost, company, 
system, systém, system, 
program, program, 
question, otázka, question, 
work, práce, work, 
government, vláda, government, 
number, číslo, number, 
night, noc, night, 
mr, pan, mr, 
point, bod, point, 
home, domov, home, 
water, voda, water, 
room, pokoj, místnost, room, room, pokoj, pokoj, room, room, 
mother, matka, mother, 
area, plocha, flat, ploché, flat, 
money, peníze, money, 
story, příběh, story, 
fact, skutečnost, reality, realita, reality, 
month, měsíc, moon, měsíc, 
lot, hodně, much, hodně, 
right, že jo, right, 
study, studie, studies, studie, 
book, rezervovat, book, 
eye, oko, eye, 
job, práce, work, práce, 
word, slovo, word, 
business, podnikání, business, 
issue, problém, problem, problém, 
side, boční, lateral, postranní, lateral, 
kind, druh, species, druh, 
head, hlava, head, 
house, dům, house, 
service, servis, service, 
friend, přítel, friend, 
father, otec, dad, táto, this, tento, this, 
power, napájení, power supply, zdroj napájení, power source, zdroj energie, energy source, zdroj energie, 
hour, hodina, hour, 
game, hra, game, 
line, čára, line, 
end, konec, end, 
member, člen, member, 
law, zákon, law, 
car, auto, car, 
city, město, city, 
community, společenství, commonwealth, společenstvi, commonwealth, 
name, název, name, 
president, prezident, president, 
team, tým, team, 
minute, minuta, minute, 
idea, idea, 
kid, dítě, child, dítě, 
body, tělo, body, 
information, informace, information, 
back, zadní, rear, zadní, 
parent, rodič, parent, 
face, tvář, face, 
others, ostatní, other, jiný, other, 
level, úroveň, level, 
office, kancelář, office, 
door, dveře, door, 
health, zdraví, health, 
person, osoba, person, 
art, umění, art, 
war, válka, war, 
