time, पहर, time, 
year, साल, year, 
people, लोग, the people, लोग, 
way, मार्ग, way, 
day, दिन, day, 
man, आदमी, man, 
thing, चीज़, cheese, पनीर, cottage cheese, पनीर, 
woman, महिला, female, महिला, 
life, जिंदगी, life, 
child, बच्चा, child, 
world, विश्व, world, 
school, स्कूल, school, 
state, राज्य, state, 
family, परिवार, family, 
student, छात्र, student, 
group, समूह, group, 
country, देश, country, 
problem, मुसीबत, problem, 
hand, हाथ, hand, 
part, अंश, part, 
place, जगह, place, 
case, मामला, matter, मामला, 
week, सप्ताह, week, 
company, कंपनी, company, 
system, प्रणाली, system, 
program, कार्यक्रम, program, 
question, सवाल, question, 
work, काम, work, 
government, सरकार, government, 
number, संख्या, number, 
night, रात, night, 
mr, श्री, mr, 
point, बिंदु, point, 
home, होम, home, 
water, पानी, water, 
room, कक्ष, the room, कमरा, rooms, कमरा, 
mother, मां, mother, 
area, क्षेत्र, area, 
money, पैसे, money, 
story, कहानी, story, 
fact, तथ्य, fact, 
month, महीना, month, 
lot, बहुत, very, बहुत, 
right, सही, right, 
study, अध्ययन, study, 
book, किताब, book, 
eye, आंख, the eye, आँख, eye, 
job, काम, work, काम, 
word, शब्द, word, 
business, व्यापार, business, 
issue, मुद्दा, issue, 
side, पक्ष, party, पार्टी, party, 
kind, मेहरबान, kind, 
head, सिर, the head, सिर, 
house, मकान, house, 
service, सर्विस, service, 
friend, दोस्त, friend, 
father, पिता, husband, पति, husband, 
power, शक्ति, power, 
hour, घंटा, bell, घंटी, bell, 
game, खेल, sport, खेल, 
line, लाइन, the line, रेखा, line, 
end, समाप्त, end, 
member, सदस्य, member, 
law, कानून, law, 
car, गाड़ी, the cart, गाड़ी, 
city, शहर, city, 
community, समुदाय, community, 
name, नाम, name, 
president, अध्यक्ष, director, निदेशक, director, 
team, टीम, team, 
minute, मिनट, minute, 
idea, विचार, idea, 
kid, बच्चा, child, बच्चा, 
body, तन, body, 
information, जानकारी, information, 
back, वापस, back, 
parent, माता-पिता, mother-father, माता पिता, mother-father, 
face, चेहरा, face, 
others, अन्य लोग, other people, अन्य लोग, 
level, स्तर, level, 
office, कार्यालय, office, 
door, द्वार, door, 
health, स्वास्थ्य, health, 
person, व्यक्ति, person, 
art, कला, art, 
war, युद्ध, war, 
history, इतिहास, history, 
party, पार्टी, party, 
result, परिणाम, result, 
change, परिवर्तन, change, 
morning, सुबह, morning, 
reason, कारण, reason, 
research, अनुसंधान, the research, अनुसंधान, 
girl, लड़की, girl, 
guy, पुरुष, male, नर, male, 
food, भोजन, food, 
moment, पल, moment, 
air, वायु, wind, हवा, air, 
teacher, अध्यापक, teacher, 
force, बल, strength, शक्ति, power, शक्ति, 
education, शिक्षा, education, 
foot, पैर, leg, टांग, leg, 
boy, लड़का, the boy, लड़का, 
age, आयु, the age, आयु, 
policy, नीति, policy, 
process, प्रक्रिया, process, 
music, संगीत, music, 
market, बाजार, market, 
sense, समझ, understand, समझना, understanding, समझ, 
nation, राष्ट्र, the nation, देश, country, देश, 
plan, योजना, plan, 
college, कॉलेज, college, 
interest, ब्याज, interest, 
death, मौत, the death, मौत, 
experience, अनुभव, experience, 
effect, प्रभाव, effect, 
use, उपयोग, use, 
class, कक्षा, class, 
control, नियंत्रण, control, 
care, देखभाल, care, 
field, खेत, farm, खेत, 
