time, 시각, time, 
year, 년, year, 
people, 사람들, people, 
way, 방법, way, 
day, 일, work, 작업, work, 
man, 남자, man, 
thing, 맡은 일, thing, 
woman, 여자, woman, 
life, 생명, life, 
child, 어린이, child, 
world, 세계, world, 
school, 학교, school, 
state, 상태, condition, 조건, condition, 
family, 가족, family, 
student, 학생, student, 
group, 그룹, group, 
country, 국가, country, 
problem, 문제, problem, 
hand, 손, hand, 
part, 부품, part, 
place, 장소, place, 
case, 케이스, case, 
week, 주, week, 
company, 회사, company, 
system, 체계, system, 
program, 프로그램, program, 
question, 문제, problem, 문제, 
work, 작업, work, 
government, 정부, government, 
number, 번호, number, 
night, 밤, night, 
mr, 씨, seed, 씨, 
point, 포인트, point, 
home, 집, house, 집, 
water, 물, water, 
room, 방, room, 
mother, 어머니, mother, 
area, 지역, area, 
money, 돈, money, 
story, 이야기, story, 
fact, 것, that, 그, that, 
month, 달, month, 
lot, 제비, swallow, 제비, 
right, 권리, right, 
study, 연구, research, 연구, 
book, 도서, books, 서적, books, 
eye, 눈, eye, 
job, 일, work, 작업, work, 
word, 워드, word, 
business, 사업, business, 
issue, 발행물, issue, 
side, 측면, side, 
kind, 종류, kinds, 종류, 
head, 머리, head, 
house, 집, house, 
service, 서비스, service, 
friend, 친구, friend, 
father, 아버지, father, 
power, 힘, power, 
hour, 시간, time, 시각, time, 
game, 경기, game, 
line, 선, line, 
end, 종료, end, 
member, 회원, member, 
law, 법, method, 방법, way, 방법, 
car, 차, car, 
city, 시티, city, 
community, 커뮤니티, community, 
name, 이름, name, 
president, 대통령, president, 
team, 팀, team, 
minute, 분, minute, 
idea, 생각, think, 생각한다, think, 
kid, 아이, children, 어린이, child, 어린이, 
body, 신체, body, 
information, 정보, information, 
back, 뒤로, backwards, 뒤로, 
parent, 부모의, parent, 
face, 얼굴, face, 
others, 다른 사람, others, 
level, 수평, level, 
office, 사무실, office, 
door, 문, door, 
health, 건강, health, 
person, 사람, person, 
art, 미술, art, 
war, 전쟁, war, 
history, 역사, history, 
party, 파티, party, 
result, 결과, result, 
change, 변화, change, 
morning, 아침, morning, 
reason, 이유, reason, 
research, 연구, research, 
girl, 소녀, girl, 
guy, 사람, person, 사람, 
food, 식품, food, 
moment, 순간, moment, 
air, 공기, air, 
teacher, 선생, teacher, 
force, 힘, power, 힘, 
education, 교육, education, 
foot, 발, foot, 
boy, 소년, boy, 
age, 나이, age, 
policy, 정책, policy, 
process, 방법, way, 방법, 
music, 음악, music, 
market, 시장, market, 
sense, 감각, sense, 
nation, 민족, people, 사람들, people, 
plan, 계획, plan, 
college, 칼리지, college, 
interest, 관심, attention, 주의, caution, 주의, 
death, 죽음, death, 
experience, 경험, experience, 
effect, 효과, effect, 
use, 용도, usage, 용법, usage, 
class, 수업, class, 
control, 제어, control, 
care, 케어, care, 
field, 들, field, 
development, 개발, development, 
role, 역할, role, 
effort, 노력, effort, 
rate, 율, rate, 
heart, 심장, heart, 
drug, 약, about, 약, 
show, 보여 주다, to show, 보여주기, show, 
leader, 리더, leader, 
light, 빛, light, 
voice, 목소리, voice, 
wife, 아내, wife, 
police, 경찰, police, 
mind, 마음, mind, 
price, 가격, price, 
report, 보고서, report, 
decision, 결정, decision, 
son, 아들, son, 
view, 전망, view, 
relationship, 관계, relation, 관계, 
town, 도시, city, 시티, city, 
road, 도로, road, 
arm, 팔, arm, 
difference, 차, car, 차, 
