time, צייַט, time, 
year, יאָר, year, 
people, מענטשן, people, 
way, וועג, way, 
day, טאָג, day, 
man, מענטש, man, 
thing, זאַך, thing, 
woman, פרוי, wife, פרוי, 
life, לעבן, life, 
child, קינד, child, 
world, world, 
school, שולע, school, 
state, שטאַט, state, 
family, משפּחה, family, 
student, תּלמיד, student, 
group, גרופּע, group, 
country, לאַנד, country, 
problem, פּראָבלעם, problem, 
hand, האַנט, hand, 
part, טייל, part, 
place, אָרט, place, 
case, case, 
week, week, 
company, פירמע, company, 
system, סיסטעם, system, 
program, פּראָגראַם, program, 
question, קשיא, question, 
work, אַרבעט, work, 
government, רעגירונג, government, 
number, נומער, number, 
night, נאַכט, night, 
mr, הער, mr., הער., mr., 
point, פּונקט, exactly, פּונקט, 
home, היים, home, 
water, וואַסער, water, 
room, צימער, room, 
mother, מוטער, mother, 
area, געגנט, area, 
money, געלט, money, 
story, געשיכטע, history, געשיכטע, 
fact, פאַקט, reality, reality, 
month, חודש, month, 
lot, פּלאַץ, space, אָרט, place, אָרט, 
right, רעכט, right, 
study, לערנען, learn, לערן, learn, 
book, בוך, book, 
eye, אויג, eye, 
job, אַרבעט, work, אַרבעט, 
word, word, 
business, געשעפט, business, 
issue, issue, 
side, זייַט, side, 
kind, מין, min, מינ, min, 
head, קאָפּ, head, 
house, הויז, house, 
service, דינסט, service, 
friend, פרייַנד, friend, 
father, פאטער, father, 
power, קראַפט, force, קראַפט, 
hour, שעה, hour, 
game, שפּיל, game, 
line, ליניע, line, 
end, סוף, end, 
member, מיטגליד, member, 
law, law, 
car, מאַשין, car, 
city, שטאָט, city, 
community, קהילה, church, church, 
name, נאָמען, name, 
president, פּרעזידענט, president, 
team, מאַנשאַפֿט, team, 
minute, מינוט, minutes, מינוט, 
idea, געדאַנק, idea, 
kid, קינד, child, קינד, 
body, body, 
information, אינפֿאָרמאַציע, information, 
back, צוריק, back, 
parent, parent, 
face, פּנים, face, 
others, אנדערע, others, 
level, level, 
office, אָפיס, office, 
door, טיר, door, 
health, געזונט, well, געזונט, 
person, מענטש, man, מענטש, 
art, קונסט, art, 
war, מלחמה, war, 
history, געשיכטע, history, 
party, פּאַרטיי, party, 
result, רעזולטאַט, result, 
change, טוישן, change, 
morning, פרימאָרגן, morning, 
reason, סיבה, reason, 
research, research, 
girl, מיידל, girl, 
guy, באָכער, guy, 
food, עסנוואַרג, food, 
moment, מאָמענט, moment, 
air, לופט, air, 
teacher, לערער, teacher, 
force, force, 
education, בילדונג, education, 
foot, פֿיס, foot, 
boy, יינגל, boy, 
age, עלטער, age, 
policy, פּאָליטיק, policy, 
process, פּראָצעס, process, 
music, מוזיק, music, 
market, מאַרק, market, 
sense, זינען, sense, 
nation, nation, 
plan, פּלאַן, design, פּלאַן, 
college, קאָלעדזש, college, 
interest, אינטערעס, interest, 
death, טויט, dead, טויט, 
experience, דערפאַרונג, experience, 
effect, ווירקונג, effect, 
use, נוצן, use, 
class, קלאַס, class, 
control, קאָנטראָל, control, 
care, זאָרג, worry, זאָרג, 
field, פעלד, field, 
development, אַנטוויקלונג, development, 
role, ראָלע, role, 
effort, מי, mi, mi, 
rate, קורס, rate, 
heart, האַרץ, heart, 
drug, מעדיצין, medicine, מעדיצין, 
show, ווייַזן, show, 
leader, leader, 
light, ליכט, light, 
voice, קול, voice, 
wife, פרוי, wife, 
police, פּאָליצייַ, police, 
mind, mind, 
price, פּרייַז, price, 
report, באַריכט, report, 
decision, decision, 
son, זון, son, 
view, view, 
relationship, relationship, 
town, שטאָט, city, סיטי, city, 
road, וועג, way, וועג, 
arm, אָרעם, poor, נעבעך, poor, 
difference, difference, 
value, ווערט, value, 
building, בנין, building, 
action, קאַמף, action, 
model, מאָדעל, model, 
season, צייַט, time, צייַט, 
society, געזעלשאַפט, company, פֿירמע, company, 
tax, שטייַער, tax, 
director, דירעקטאָר, director, 
position, שטעלע, position, 
player, שפּילער, player, 
record, רעקאָרד, record, 
paper, פּאַפּיר, paper, 
space, space, 
ground, ערד, earth, ערד, 
form, form, 
event, געשעעניש, event, 
official, official, 
matter, ענין, subject matter, ונטערטעניק ענין, subject matter, 
center, צענטער, center, 
couple, פּאָר, couple, 
site, פּלאַץ, space, אָרט, place, אָרט, 
project, פּרויעקט, project, 
activity, טעטיקייט, activity, 
star, star, 
table, טיש, table, 
need, need, 
court, הויף, yard, יאַרד, yard, 
american, אמעריקאנער, americans, אמעריקאנער, 
oil, ייל, oil, 
situation, סיטואַציע, situation, 
cost, פּרייַז, price, פּרייַז, 
industry, אינדוסטריע, industry, 
figure, פיגור, figure, 
street, street, 
image, בילד, image, 
phone, טעלעפאָנירן, phone, 
data, data, 
picture, בילד, image, בילד, 
practice, פיר, four, פיר, 
piece, שטיק, piece, 
land, לאַנד, country, לאַנד, 
product, פּראָדוקט, product, 
doctor, דאָקטער, doctor, 
wall, וואַנט, wall, 
patient, פּאַציענט, patient, 
worker, worker, 
news, נייַעס, news, 
test, test, 
movie, פֿילם, movie, 
north, צפון, north, 
love, ליבע, love, 
support, שטיצן, support, 
technology, טעכנאָלאָגיע, technology, 
step, טרעפּל, step, 
baby, בעיבי, baby, 
computer, קאָמפּיוטער, computer, 
type, טיפּ, type, 
attention, ופמערקזאַמקייַט, attention, 
film, פילם, film, 
republican, רעפּובליקאַן, republican, 
tree, tree, 
source, מקור, source, 
organization, אָרגאַניזירונג, organization, 
hair, האָר, hair, 
look, look, 
century, יאָרהונדערט, century, 
evidence, evidence, 
window, פענצטער, window, 
culture, קולטור, culture, 
chance, געלעגנהייַט, occasion, געלעגנהייַט, 
brother, ברודער, brother, 
energy, ענערגיע, energy, 
period, צייַט, time, צייַט, 
course, course, 
summer, זומער, summer, 
plant, געוויקס, plant, 
opportunity, געלעגנהייט, opportunity, 
term, טערמין, term, 
letter, בריוו, letter, 
condition, צושטאַנד, condition, 
choice, ברירה, choice, 
rule, rule, 
daughter, טאָכטער, daughter, 
administration, אַדמיניסטראַציע, management, פאַרוואַלטונג, management, 
south, דרום, south, 
husband, מאַן, husband, 
congress, קאָנגרעס, congress, 
floor, שטאָק, floor, 
campaign, קאַמפּיין, campaign, 
material, מאַטעריאַל, material, 
population, באַפעלקערונג, population, 
call, call, 
economy, economy, 
hospital, שפּיטאָל, hospital, 
