time, tijd, time, 
year, jaar, year, 
people, mensen, people, 
way, manier, way, 
day, dag, day, 
man, man, 
thing, ding, thing, 
woman, vrouw, woman, 
life, leven, life, 
child, kind, child, 
world, wereld-, world, 
school, school-, school, 
state, staat, state, 
family, familie, family, 
student, student, 
group, groep, group, 
country, land, country, 
problem, probleem, issue, kwestie, matter, er toe doen, matter, 
hand, hand-, hand, 
part, een deel, part, 
place, plaats, place, 
case, geval, case, 
week, week, 
company, bedrijf, company, 
system, systeem, system, 
program, programma, program, 
question, vraag, ask, vragen, ask, 
work, werk, work, 
government, regering, government, 
number, aantal, number, 
night, nacht, night, 
mr, dhr, mr., dhr., mr., 
point, punt, point, 
home, huis, house, huis, 
water, water, 
room, kamer, room, 
mother, moeder, mother, 
area, gebied, area, 
money, geld, money, 
story, verhaal, story, 
fact, feit, fact, 
month, maand, month, 
lot, lot, 
right, rechts, right, 
study, studie, study, 
book, boek, book, 
eye, oog, eye, 
job, baan, job, 
word, woord, word, 
business, bedrijf, company, bedrijf, 
issue, kwestie, matter, er toe doen, matter, 
side, kant, side, 
kind, soort, kind, 
head, hoofd, head, 
house, huis, house, 
service, service, 
friend, vriend, friend, 
father, vader, father, 
power, macht, power, 
hour, uur, hours, uur, 
game, spel, game, 
line, lijn, line, 
end, einde, end, 
member, lid, member, 
law, wet, law, 
car, auto, car, 
city, stad, city, 
community, gemeenschap, community, 
name, naam, name, 
president, president, 
team, team, 
minute, minuut, minute, 
idea, idee, idea, 
kid, kind, child, kind, 
body, lichaam, body, 
information, informatie, information, 
back, terug, back, 
parent, ouder, older, ouder, 
face, gezicht, face, 
others, anderen, others, 
level, niveau, level, 
office, kantoor, office, 
door, deur-, door, 
health, gezondheid, health, 
person, persoon, person, 
art, kunst, art, 
war, oorlog, war, 
history, geschiedenis, history, 
party, feest, party, 
result, resultaat, result, 
change, verandering, change, 
morning, ochtend-, morning, 
reason, reden, reason, 
research, onderzoek, research, 
girl, meisje, girl, 
guy, kerel, guy, 
food, eten, food, 
moment, moment, 
air, lucht, air, 
teacher, leraar, teacher, 
force, dwingen, force, 
education, onderwijs, education, 
foot, voet, foot, 
