time, wektu, time, 
year, taun, year, 
people, wong, man, wong, 
way, cara, way, 
day, dina, day, 
man, wong, man, 
thing, bab, chapter, bab, 
woman, wong wadon, a woman, wong wadon, 
life, urip, live, manggon, live, 
child, bocah, kid, bocah, 
world, donya, world, 
school, sekolah, school, 
state, negara, country, negara, 
family, kulawarga, family, 
student, siswa, students, siswa, 
group, grup, group, 
country, negara, country, 
problem, masalah, problem, 
hand, tangan, hands, tangan, 
part, bagean, section, bagean, 
place, panggonan, place, 
case, kasus, case, 
week, minggu, week, 
company, perusahaan, company, 
system, sistem, system, 
program, program, 
question, pitakonan, question, 
work, karya, work, 
government, pemerintah, government, 
number, nomer, number, 
night, wengi, night, 
mr, mr, 
point, titik, point, 
home, ngarep, home, 
water, banyu, water, 
room, kamar, room, 
mother, ibu, mother, 
area, wilayah, region, wilayah, 
money, dhuwit, money, 
story, crita, story, 
fact, kanyatan, facts, bukti, evidence, bukti, 
month, sasi, month, 
lot, kathah, a lot, kathah, 
right, tengen, right, 
study, sinau, learn, sinau, 
book, buku, books, buku, 
eye, mripat, eye, 
job, proyek, project, proyek, 
word, tembung, word, 
business, bisnis, business, 
issue, masalah, problem, masalah, 
side, sisih, side, 
kind, apik, good, apik, 
head, sirah, head, 
house, omah, house, 
service, layanan, service, 
friend, kanca, friend, 
father, bapak, father, 
power, daya, power, 
hour, jam, hour, 
game, game, 
line, baris, line, 
end, pungkasan, last, pungkasan, 
member, anggota, members, anggota, 
law, hukum, law, 
car, mobil, car, 
city, kutha, city, 
community, masyarakat, community, 
name, jeneng, name, 
president, presiden, president, 
team, tim, team, 
minute, menit, minutes, menit, 
idea, idea, 
kid, bocah, kid, 
body, awak, you, sampeyan, you, 
information, informasi, information, 
back, bali, bali, 
parent, wong tuwa, parents, wong tuwa, 
face, pasuryan, face, 
others, liyane, more, luwih akeh, much more, luwih, more, 
level, tingkat, level, 
office, kantor, office, 
door, lawang, door, 
health, kesehatan, health, 
person, wong, man, wong, 
art, seni, art, 
war, perang, war, 
history, sejarah, history, 
party, pesta, party, 
result, asil, results, asil, 
change, ganti, change, 
morning, enjing, morning, 
reason, alesanipun, the reason, alesanipun, 
research, riset, research, 
girl, bocah wadon, girls, bocah wadon, 
guy, wong, man, wong, 
food, panganan, food, 
moment, wektu, time, wektu, 
air, udara, air, 
teacher, guru, teacher, 
force, pasukan, troops, prajurit, soldier, prajurit, 
education, pendidikan, education, 
foot, sikil, legs, sikil, 
boy, bocah lanang, boy, 
age, umur, age, 
policy, privasi, privacy, privasi, 
process, proses, process, 
music, musik, music, 
market, pasar, market, 
sense, pangertèn, sense, 
nation, bangsa, nation, 
plan, rencana, plan, 
college, college, 
interest, kepincut, attracted, kepincut, 
death, mati, dead, mati, 
experience, pengalaman, experience, 
effect, efek, effect, 
use, nggunakake, use, 
class, kelas, class, 
control, kontrol, control, 
care, care, 
field, lapangan, field, 
development, pangembangan, development, 
role, peran, role, 
effort, gaweyan, effort, 
rate, tingkat, level, tingkat, 
heart, ati, liver, ati, 
drug, tamba, cure, ngobati, cure, 
show, tampilake, show, 
leader, pimpinan, leadership, kepemimpinan, leadership, 
light, cahya, light, 
voice, swara, voice, 
wife, bojo, wife, 
police, polisi, police, 
mind, pikiran, mind, 
price, rega, price, 
report, laporan, report, 
decision, keputusan, decision, 
son, putra, son, 
view, tampilan, display, tampilan, 
relationship, sesambetan, relationship, 
town, kutha, city, kutha, 
road, dalan, roads, dalan, 
arm, lengen, arm, 
difference, prabédan, difference, 
value, nilai, value, 
building, bangunan, building, 
action, tumindak, act, tumindak, 
model, model, 
season, mangsa, victim, korban, victim, 
society, masyarakat, community, masyarakat, 
tax, tax, 
director, direktur, director, 
position, posisi, position, 
player, pamuter, player, 
record, rekaman, recording, rekaman, 
paper, kertas, paper, 
space, panggonan, place, panggonan, 
ground, lemah, weak, banget, very well, sae sanget, very good, apik tenan, awesome, apik, good, apik, 
form, wangun, form, 
event, acara, event, 
official, resmi, official, 
matter, prakara, matter, 
center, tengah, center, 
couple, saperangan, a couple, saperangan, 
site, situs, site, 
project, proyek, project, 
activity, kegiatan, activity, 
star, lintang, latitude, garis lintang, latitude, 
table, tabel, table, 
need, perlu, necessary, perlu, 
court, pengadilan, court, 
american, amerika, america, america, 
oil, lenga, oil, 
situation, kahanan, situation, 
cost, biaya, cost, 
industry, industri, industry, 
figure, tokoh, figure, 
street, dalan, roads, dalan, 
image, gambar, picture, gambar, 
phone, telpon, phone, 
data, data, 
picture, gambar, picture, 
practice, laku, behavior, prilaku, behavior, 
piece, piece, 
land, tanah, land, 
product, produk, product, 
doctor, dhokter, doctor, 
wall, tembok, wall, 
patient, sabar, patient, 
worker, buruh, laborers, buruh, 
news, kabar, news, 
test, test, 
movie, film, film, 
north, lor, north, 
love, katresnan, love, 
support, nyokong, advocate, pengacara, lawyer, pengacara, 
technology, teknologi, technology, 
step, langkah, steps, langkah-langkah, steps, 
baby, bayi, baby, 
computer, komputer, computer, 
type, tipe, type, 
attention, manungsa waé, attention, 
film, film, 
republican, republik, republic, republik, 
tree, wit, wit, 
source, sumber, source, 
organization, organisasi, organization, 
hair, rambut, hair, 
look, katon, looks, katon, 
century, abad, century, 
evidence, bukti, evidence, 
window, jendhela, windows, jendhela, 
culture, budaya, culture, 
chance, kasempatan, chance, 
brother, sedulur, brother, 
energy, tenogo, energies, energies, 
period, periode, period, 
course, mesthi wae, of course, mesthi, of course, 
summer, panas, hot, panas, 
plant, tanduran, plant, 
opportunity, kesempatan, opportunity, 
term, istilah, term, 
letter, huruf, letter, 
condition, kondisi, condition, 
choice, pilihan, choice, 
rule, aturan, rules, aturan, 
daughter, putri, daughter, 
administration, administrasi, administration, 
south, sisih kidul, to the south, ing sisih kidul, to the south, 
husband, bojomu, your husband, sampeyan bojomu, you husband, sampeyan bojomu, 
congress, kongres, congress, 
floor, lantai, floor, 
campaign, kampanye, campaign, 
material, materi, material, 
population, populasi, population, 
call, nelpon, call, 
economy, ekonomi, economy, 
hospital, rumah sakit, hospital, 
church, gereja, church, 
risk, resiko, risk, 
fire, geni, fire, 
future, mangsa, victim, korban, victim, 
defense, pertahanan, defense, 
security, keamanan, security, 
bank, bank, 
west, kulon, west, 
sport, olahraga, sports, olahraga, 
board, papan, board, 
subject, subyek, subject, 
officer, pejabat, office, kantor, office, 
rest, ngaso, rest, 
behavior, prilaku, behavior, 
performance, kinerja, performance, 
top, ndhuwur, top, 
goal, goal, 
second, kapindho, second, 
bed, amben, amben, 
order, urutan, order, 
author, penulis, author, 
blood, getih, blood, 
agency, agensi, agency, 
nature, alam, nature, 
color, werna, color, 
store, nyimpen, save, simpen, save, 
sound, swara, voice, swara, 
movement, gerakan, movement, 
page, kaca, glass, kaca, 
race, lomba, race, 
concern, badhan, concern, 
series, seri, series, 
language, basa, basa, 
response, respon, response, 
animal, kewan, animals, kewan, 
factor, faktor, factor, 
decade, dasawarsa, decade, 
article, artikel, articles, artikel, 
east, wétan, east, 
artist, artis, artist, 
scene, adegan, scene, 
stock, simpenan, stock, 
career, karir, career, 
treatment, perawatan, treatment, 
approach, pendekatan, approach, 
size, ukuran, size, 
dog, asu, dog, 
fund, dana, fund, 
media, media, 
sign, tandha, mark, tandha, 
thought, pikirane, thoughts, pikirane, 
list, dhaptar, the list, dhaptar, 
individual, individu, individual, 
quality, kualitas, quality, 
pressure, tekanan, pressure, 
answer, njawab, answer, 
resource, sumber, source, sumber, 
meeting, rapat, meeting, 
disease, penyakit, disease, 
success, sukses, success, 
cup, cup, 
amount, jumlah, amount, 
ability, kemampuan, ability, 
staff, staf, staff, 
character, karakter, character, 
growth, wutah, growth, 
loss, mundhut, take it, njupuk iku, take it, 
degree, gelar, degree, 
attack, anggempur, attack, 
region, wilayah, region, 
television, televisi, television, 
box, kothak, box, 
tv, tv, 
training, latihan, training, 
trade, perdagangan, trade, 
deal, menehi hasil, deal, 
election, pemilihan, selection, seleksi, selection, 
feeling, perasaan, feeling, 
standard, standar, standard, 
bill, bill, 
message, pesen, message, 
analysis, analisis, analysis, 
benefit, entuk manfaat, benefit, 
sex, jinis, sex, 
lawyer, pengacara, lawyer, 
section, bagean, section, 
glass, kaca, glass, 
skill, skill, 
sister, adhine, adhine, 
professor, profesor, professor, 
operation, operasi, operation, 
crime, tindak pidana, criminal act, tindak pidana, 
stage, panggung, stage, 
authority, wewenang, authority, 
design, desain, design, 
sort, urut, massage, pijet, pijet, 
one, siji, one, 
knowledge, kawruh, knowledge, 
gun, gun, 
station, stasiun, station, 
strategy, strategi, strategy, 
truth, bebener, truth, 
song, lagu, song, 
example, conto, example, 
environment, lingkungan, environment, 
leg, sikil, legs, sikil, 
public, umum, general, umum, 
executive, eksekutif, executive, 
set, nyetel, set up, nggawe, create, nggawe, 
rock, rock, 
note, cathetan, note, 
manager, manajer, manager, 
help, bantuan, help, 
network, jaringan, network, 
science, ilmu, knowledge, kawruh, knowledge, 
memory, memori, memory, 
card, kertu, card, 
seat, kursi, chair, dhingklik, dhingklik, 
cell, sel, cell, 
trial, nyoba, try, coba, try it, cobanen, cobanen, 
expert, pakar, expert, 
spring, spring, 
firm, tegese, meanings, makna, meaning, artine, artine, 
democrat, demokrat, democrats, demokrat, 
radio, radio, 
management, manajemen, management, 
ball, bal, ball, 
talk, dhiskusi, talk, 
theory, teori, theory, 
impact, impact, 
statement, statement, 
charge, ngisi, fill in, ngisi, 
direction, arah, directions, pituduh, directions, 
weapon, gegaman, weapon, 
employee, pegawe, employee, 
peace, tentrem, peace, 
base, basa, basa, 
pain, pain, 
play, muter, play, 
measure, langkah, steps, langkah-langkah, steps, 
interview, wawancara, interview, 
chair, dhingklik, dhingklik, 
fish, iwak, fish, 
camera, kamera, camera, 
structure, struktur, structure, 
politics, politik, politics, 
bit, dicokot, taken, dijupuk, taken, 
weight, bobot, weight, 
candidate, calon, candidate, 
production, produksi, production, 
trip, trip, 
evening, sore, afternoon, sore, 
conference, konferensi, conference, 
unit, unit, 
style, gaya, style, 
adult, diwasa, adult, 
range, sawetara, some, sawetara, 
past, mbiyen, mbiyen, 
edge, pinggiran, periphery, periphery, 
writer, penulis, author, penulis, 
trouble, masalah, problem, masalah, 
challenge, tantangan, challenge, 
fear, wedi, fear, 
shoulder, pundhak, shoulder, 
institution, institusi, institution, 
sea, segara, segara, 
dream, ngimpi, dream, 
bar, bar, 
property, properti, property, 
stuff, kuwi, that is, iku, it is, iku, 
detail, rinci, detailed, rinci, 
method, cara, way, cara, 
magazine, majalah, magazine, 
hotel, hotel, 
soldier, prajurit, soldier, 
cause, sabab, cause, 
bag, tas, bag, 
heat, panas, hot, panas, 
fall, tiba, arrived, teka, come on, ayo ing, come on, 
marriage, perkawinan, marriage, 
surface, permukaan, surface, 
purpose, waé, only, mung, only, 
pattern, pola, pattern, 
skin, kulit, skin, 
agent, agen, agent, 
owner, pemilik, owner, 
machine, mesin, machine, 
gas, gas, 
generation, generasi, generation, 
cancer, kanker, cancer, 
item, item, 
reality, kasunyatan, reality, 
coach, pelatih, coach, 
mrs, mrs, 
yard, yard, 
violence, kekerasan, violence, 
investment, investasi, investment, 
discussion, diskusi, discussion, 
finger, driji, finger, 
garden, kebon, garden, 
collection, koleksi, collection, 
task, tugas, task, 
partner, partner, 
kitchen, pawon, kitchen, 
consumer, konsumen, consumer, 
shot, dijupuk, taken, dijupuk, 
budget, anggaran, budget, 
painting, lukisan, painting, 
scientist, ilmuwan, scientist, 
agreement, persetujuan, approval, persetujuan, 
capital, ibukutha, capital, 
mouth, cangkeme, cangkeme, 
victim, korban, victim, 
newspaper, koran, newspaper, 
threat, ancaman, threats, ancaman, 
responsibility, tanggung jawabe, responsibility, 
attorney, pengacara, lawyer, pengacara, 
score, skor, score, 
account, akun, account, 
break, break, 
audience, pamirsa, audience, 
dinner, nedha bengi, dinner, 
vote, pilihane, his choice, pilihanipun, choice, pilihan, choice, 
debate, debat, debate, 
citizen, warga, citizens, warga, 
majority, mayoritas, majority, 
wind, angin, wind, 
mission, karep, lust, hawa nepsu, lust, 
customer, pelanggan, customer, 
speech, wicara, speech, 
option, pilihan, choice, pilihan, 
participant, peserta, participants, peserta, 
forest, alas, alas, 
video, video, 
senate, senat, senate, 
reform, reformasi, reform, 
access, akses, access, 
restaurant, restoran, restaurant, 
judge, hakim, judge, 
relation, hubungan, relationship, sesambetan, relationship, 
bird, manuk, birds, manuk, 
opinion, pendapat, opinion, 
credit, kredit, credit, 
corner, sudhut, wide, sudhut, 
version, versi, version, 
safety, safety, 
neighborhood, lingkungan, environment, lingkungan, 
act, tumindak, act, 
troop , pasukan , troops , pasukan , 
income, income, 
species, spesies, species, 
track, trek, track, 
hope, pangarep-arep, hope, 
sky, langit, sky, 
freedom, kebebasan, freedom, 
plane, pesawat, plane, 
object, obyek, object, 
attitude, sikap, attitude, 
labor, pegaweyan, work, karya, work, 
concept, konsep, concept, 
client, klien, client, 
