time, زمان, time, 
year, سال, year, 
people, مردم, people, 
way, مسیر, direction, جهت, direction, 
day, روز, day, 
man, مرد, man, 
thing, چیز, thing, 
woman, زن, female, زن, 
life, زندگی, life, 
child, کودک, child, 
world, جهان, the world, جهان, 
school, مدرسه, school, 
state, حالت, state of, حالت, 
family, خانواده, family, 
student, دانشجو, student, 
group, گروه, group, 
country, کشور, country, 
problem, مسئله, question, سوال, question, 
hand, دست, hand, 
part, بخشی, partly, تقریبا, about, در باره, about, 
place, محل, location, محل, 
case, مورد, case, 
week, هفته, week, 
company, شرکت, company, 
system, سیستم, system, 
program, برنامه, program, 
question, سوال, question, 
work, کار, work, 
government, دولت, government, 
number, عدد, number, 
night, شب, the night, شب, 
mr, آقای, mr, 
point, نقطه, point, 
home, خانه, home, 
water, اب, water, 
room, اتاق, room, 
mother, مادر, mother, 
area, حوزه, area, 
money, پول, money, 
story, داستان, story, 
fact, حقیقت, truth, حقیقت, 
month, ماه, month, 
lot, خیلی زیاد, too much, خیلی زیاد, 
right, درست, right, 
study, مطالعه, study, 
book, کتاب, book, 
eye, چشم, eye, 
job, کار, work, کار کن, work, 
word, کلمه, word, 
business, کسب و کار, business, 
issue, موضوع, issue, 
side, سمت, side, 
kind, نوع, kind of, نوع, 
head, سر, head, 
house, خانه, home, خانه, 
service, سرویس, service, 
friend, دوست, friend, 
father, پدر, father, 
power, قدرت, the power, قدرت, 
hour, ساعت, the watch, ساعت, 
game, بازی, play, بازی, 
line, خط, line, 
end, پایان, end, 
member, عضو, member, 
law, قانون, law, 
car, ماشین, machine, دستگاه, device, دستگاه, 
city, شهر, city, 
community, جامعه, society, جامعه, 
name, نام, name, 
president, رئيس جمهور, president, 
team, تیم, team, 
minute, دقیقه, minutes, دقایق, minutes, 
idea, اندیشه, thought, فکر, thought, 
kid, بچه, baby, عزیزم, babe, عزیزم, 
body, بدن, body, 
information, اطلاعات, information, 
back, بازگشت, coming back, برگشتن, come back, بیا عقب, come back, 
parent, والدین, parents, والدین, 
face, صورت, the face, صورت, 
others, دیگران, others, 
level, سطح, level, 
office, دفتر, note book, نوت بوک, notebook, نوت بوک, 
door, در، درب, at the door, دم درب, at the door, 
health, سلامتی, the health, سلامت, health, 
person, فرد, man, مرد, man, 
art, هنر, art, 
war, جنگ, war, 
history, تاریخ, date, تاریخ, 
party, مهمانی - جشن, party - celebration, حزب - جشن, party - celebration, 
result, نتيجه, result, 
change, تغییر دادن, change, 
morning, صبح, morning, 
reason, دلیل, the reason, دلیل, 
research, پژوهش, research, 
girl, دختر, girl, 
guy, پسر, boy, پسر, 
food, غذا, food, 
moment, لحظه, the moment, لحظه, 
air, هوا, air, 
teacher, معلم, teacher, 
force, زور, forces, نیروها, forces, 
