time, lokaci, time, 
year, shekara, year, 
people, mutane, people, 
way, hanya, way, 
day, rana, sun, rana, 
man, mutum, man, 
thing, abu, item, abu, 
woman, mace, female, mace, 
life, rai, life, 
child, yaro, kid, yaro, 
world, duniya, world, 
school, makaranta, school, 
state, jihar, state, 
family, iyali, family, 
student, dalibi, student, 
group, rukuni, group, 
country, ƙasa, ground, ƙasa, 
problem, matsalar, problem, 
hand, hannu, hand, 
part, sashe, section, sashen, department, sashen, 
place, wuri, place, 
case, akwati, trunk, akwati, 
week, mako, week, 
company, kamfanin, company, 
system, tsarin, system, 
program, shirin, plan, shirin, 
question, tambaya, ask, tambayi, ask, 
work, aiki, work, 
government, gwamnati, government, 
number, lambar, number, 
night, dare, night, 
mr, mr, 
point, aya, one, daya, one, 
home, gida, home, 
water, ruwa, water, 
room, dakin, room, 
mother, uwar, mother, 
area, yanki, area, 
money, kudi, money, 
story, labarin, story, 
fact, gaskiya, truth, gaskiya, 
month, watan, month, 
lot, yawa, many, mutane da yawa, many people, mutane da yawa, 
right, dama, right, 
study, binciken, search, bincike, research, bincike, 
book, littafin, book, 
eye, ido, eye, 
job, aiki, work, aiki, 
word, kalmar, word, 
business, kasuwanci, business, 
issue, fitowar, issue, 
side, gefe, side, 
kind, irin, type, nau'in, type, 
head, shugaban, head, 
house, gidan, house, 
service, sabis, service, 
friend, abokin, friend, 
father, uba, father, 
power, iko, power, 
hour, awa, awa, 
game, wasa, play, wasa, 
line, layi, line, 
end, karshen, the end, karshen, 
member, mamba, member, 
law, doka, law, 
car, mota, car, 
city, birnin, city, 
community, al'umma, community, 
name, sunan, name, 
president, shugaban, head, shugaban, 
team, tawagar, team, 
minute, minti, minute, 
idea, ra'ayin, idea, 
kid, yaro, kid, 
body, jiki, body, 
information, bayani, solution, bayani, 
back, baya, back, 
parent, iyaye, parents, iyaye, 
face, fuska, face, 
others, wasu, some, wasu, 
level, matakin, level, 
office, ofishin, office, 
door, ƙofar, the door, ƙofar, 
health, kiwon lafiya, health, 
person, mutum, man, mutum, 
art, art, 
war, yaki, war, 
history, tarihin, history, 
party, jam'iyyar, party, 
result, sakamakon, the result, sakamakon, 
change, canji, change, 
morning, safiya, morning, 
reason, dalili, reason, 
research, bincike, research, 
girl, yarinya, girl, 
guy, guy, 
food, abinci, food, 
moment, lokacin, time, lokaci, time, 
air, iska, air, 
teacher, malami, teacher, 
force, karfi, force, 
education, ilimi, education, 
foot, ƙafa, feet, ƙafa, 
boy, yaro, kid, yaro, 
age, shekaru, years, shekaru, 
policy, manufofin, policies, manufofin, 
process, tsari, process, 
music, kiɗa, music, 
market, kasuwa, market, 
sense, hankali, intelligence, hankali, 
nation, al'umma, community, al'umma, 
plan, shirin, plan, 
college, koleji, college, 
interest, sha'awa, interest, 
death, mutuwa, death, 
experience, kwarewa, experience, 
effect, sakamako, effect, 
use, amfani, use, 
class, aji, class, 
control, iko, power, iko, 
care, kula, school, makaranta, school, 
field, filin, field, 
development, ci gaba, carry on, ci gaba, 
role, matsayi, position, matsayi, 
effort, kokarin, try, gwada, try, 
rate, kudi, money, kudi, 
heart, zuciya, heart, 
drug, magani, medication, magani, 
show, nuna, show, 
