time, وقت, time, 
year, سال, year, 
people, لوگ, the people, لوگ, 
way, راستہ, way to, راستہ, 
day, دن, day, 
man, آدمی, man, 
thing, چیز, the thing, چیز, 
woman, عورت, woman, 
life, زندگی, life, 
child, بچہ, child, 
world, دنیا, world, 
school, اسکول, school, 
state, حالت, condition, حالت, 
family, خاندان, family, 
student, طالب علم, student, 
group, گروپ, group, 
country, ملک, country, 
problem, مسئلہ, issue, مسئلہ, 
hand, ہاتھ, hand, 
part, حصہ, share, بانٹیں, share, 
place, جگہ, the location, جگہ, 
case, معاملہ, case, 
week, ہفتے, week, 
company, کمپنی, company, 
system, نظام, system, 
program, پروگرام, program, 
question, سوال, question, 
work, کام, the work, کام, 
government, حکومت, government, 
number, نمبر, number, 
night, رات, night, 
mr, مسٹر, mr., مسٹر., mr.., مسٹر.., mr. .., مسٹر. .., mr.. .., مسٹر.. .., mr. .., 
point, نقطہ, point, 
home, گھر, home, 
water, پانی, water, 
room, کمرے, the room, کمرے, 
mother, ماں, mother, 
area, رقبہ, the area, علاقہ, area, 
money, پیسہ, money, 
story, کہانی, story, 
fact, حقیقت, reality, حقیقت, 
month, مہینے, month, 
lot, بہت, very, بہت, 
right, دائیں, right, 
study, مطالعہ, the study, مطالعہ, 
book, کتاب, book, 
eye, آنکھ, eye, 
job, ملازمت, job, 
word, لفظ, word, 
business, کاروبار, business, 
issue, مسئلہ, issue, 
side, طرف, side, 
kind, قسمت, fate, قسمت, 
head, سر, head, 
house, گھر, home, گھر, 
service, سروس, service, 
friend, دوست, friend, 
father, باپ, father, 
power, طاقت, power, 
hour, گھنٹہ, hour, 
game, کھیل, the game, کھیل, 
line, لائن, line, 
end, اختتام, end, 
member, رکن, member, 
law, قانون, law, 
car, کار, car, 
city, شہر, city, 
community, برادری, community, 
name, نام, name, 
president, صدر, president, 
team, ٹیم, team, 
minute, منٹ, minutes, منٹ, 
idea, خیال, the idea, خیال, 
kid, بچہ, child, بچہ, 
body, جسم, body, 
information, معلومات, information, 
back, پیچھے, back, 
parent, والدین, parents, والدین, 
face, چہرہ, face, 
others, دوسروں, others, 
level, سطح, level, 
office, دفتر, office, 
door, دروازہ, the door, دروازہ, 
health, صحت, health, 
person, شخص, the person, شخص, 
art, آرٹ, art, 
war, جنگ, the war, جنگ, 
history, ہسٹری, history, 
party, پارٹی, party, 
result, نتیجہ, result, 
change, تبدیل کریں, change, 
morning, صبح, morning, 
reason, وجہ, reason, 
research, تحقیق, research, 
girl, لڑکی, girl, 
guy, لڑکے, boys, لڑکے, 
food, کھانا, the meal, کھانا, 
