time, အချိန်, time, 
year, ခုနှစ်, seven, ခုနစ်, seven, 
people, လူထု, people, 
way, လမ်း, way, 
day, နေ့, day, 
man, လူကို, people, လူထု, people, 
thing, အရာ, thing, 
woman, မိန်းမ, wife, ဇနီး, wife, 
life, အသက်, life, 
child, ကလေး, baby, ကလေး, 
world, ကမ္ဘာကြီး, the world, ကမ္ဘာကြီးကို, world, 
school, ကြောငျး, school, 
state, ပြည်နယ်, state, 
family, မိသားစု, family, 
student, ကြောငျးသား, student, 
group, အုပ်စုတစ်စု, group, 
country, ပြည်, country, 
problem, ပြဿနာ, the problem, ပြဿနာ, 
hand, လက်, hand, 
part, အပိုင်း, section, အပိုင်း, 
place, နေရာ, place, 
case, အမှု, case, 
week, ရက်သတ္တပတ်, week, 
company, ကုမ္ပဏီ, the company, ကုမ္ပဏီ, 
system, စံနစ်, system, 
program, အစီအစဉ်, program, 
question, မေးခွန်း, question, 
work, အလုပ်, work, 
government, အစိုးရ, government, 
number, ဂဏန်း, crab, ဂဏန်း, 
night, ည, night, 
mr, မစ္စတာ, mr., မစ္စတာ။, mr., 
point, အမှတ်, mark, အမှတ်, 
home, နေအိမ်, home, 
water, ရေ, water, 
room, အခန်း, room, 
mother, မိခင်, mother, 
area, ဧရိယာ, area, 
money, ပိုက်ဆံ, money, 
story, ပုံပြင်, story, 
fact, အချက်အလက်, fact, 
month, လ, month, 
lot, အများကြီး, very much, အများကြီး, 
right, မှန်သော, right, 
study, လေ့လာချက်, study, 
book, စာအုပ်, book, 
eye, မျက်လုံး, eye, 
job, အလုပ်, work, အလုပ်, 
word, စကားလုံး, word, 
business, စီးပွားရေးလုပ်ငန်း, business, 
issue, ထုတ်ပြန်သည်, released, ဖြန့်ချိ, release, လွှတ်ပေး, release, 
side, ဘက်, side, 
kind, အမျိုးအစား, category, အမျိုးအစား, 
head, ဦးခေါင်း, head, 
house, အိမ်, home, နေအိမ်, home, 
service, ဝန်ဆောင်မှု, service, 
friend, မိတျဆှေ, friend, 
father, ဖခင်, father, 
power, စွမ်းအား, power, 
hour, နာရီ, hour, 
game, ဂိမ်း, game, 
line, လိုင်း, line, 
end, အဆုံး, end, 
member, အဖှဲ့ဝငျ, member, 
law, ဥပဒ, law, 
car, ကား, car, 
city, မြို့, city, 
community, အသိုင်းအဝိုင်း, community, 
name, နာမတျောကို, name, 
president, သမတ, president, 
team, အသင်းအဖွဲ့, association, အသင်း, association, 
minute, မိနစ်, minute, 
idea, စိတ်ကူး, idea, 
kid, ဆိတ်သငယ်, young goat, ဆိတ်သငယ်ကို, young goat, 
body, ကိုယ်ခန္ဓာ, body, 
information, သတင်းအချက်အလက်, information, 
back, ပြန်., back., နောက်ကျော။, back., 
parent, မိဘ, parents, မိဘများ, parents, 
face, မျက်နှာ, face, 
others, အခြားသူတွေ, others, 
level, အဆင့်, phase, အဆင့်, 
office, ရုံး, office, 
door, တံခါးပေါက်, gateway, တံခါးပေါက်, 
health, ကျန်းမာရေး, health, 
person, လူ, human, လူ့, human, 
art, အတတ်ပညာ, art, 
war, စစ်, war, 
history, သမိုင်း, history, 
party, ပါတီ, party, 
result, ရလဒ်, the result, ရလဒ်, 
change, ပွောငျးလဲခွငျး, change, 
morning, နံနက်, morning, 
reason, အကွောငျးရငျး, reason, 
research, သုတေသန, research, 
girl, မိန်းကလေး, girl, 
guy, ကောင်လေး, boy, ယောက်ျားလေး, male, အထီး, male, 
food, အစာ, food, 
moment, တခဏ, moment, 
air, လေ, air, 
teacher, ဆရာမ, teacher, 
force, အင်အား, energy, အင်အား, 
education, ပညာရေး, education, 
foot, ခြေလျင်, infantry, ကြည်းတပ်, infantry, 
boy, ယောက်ျားလေး, male, အထီး, male, 
age, အသက်အရွယ်, age, 
policy, မူဝါဒက, policy, 
process, ဖြစ်စဉ်, process, 
music, ဂီတ, music, 
market, စျေးကွက်, markets, စျေးကွက်, 
sense, အာရုံ, sense, 
nation, လူမျိုးသည်, a people, တစ်ဦးကလူတွေ, a people, 
plan, စီမံကိန်း, plan, 
college, ကောလိပ်ကျောင်း, college, 
interest, စိတ်ဝင်စားမှု, interests, စိတ်ဝင်စားမှုများ, interests, 
death, သေဆုံးခြင်း, death, 
experience, အတှေ့အကွုံ, experience, 
effect, အကျိုး, benefit, အကျိုး, 
use, အသုံး, use, 
class, အတန်းအစား, class, 
control, ထိန်းချုပ်မှု, control, 
care, စောင့်ရှောက်မှု, care, 
field, လယ်ယာ, farm, လယ်ယာ, 
development, တိုးတက်ရေး, development, 
role, အခန်းကဏ္ဍ, role, 
effort, ကြိုးစားအားထုတ်မှု, attempt, ကြိုးပမ်းမှု, efforts, အားထုတ်မှု, efforts, 
rate, မှုနှုန်း, rates, နှုန်းထားများ, rates, 
heart, နှလုံး, heart, 
drug, ဆေး, medicine, ဆေး, 
show, ပြသ, show, 
leader, ခေါင်းဆောင်, leader, 
light, အလင်း, light, 
voice, အသံ, sound, အသံက, the voice, အသံ, 
wife, ဇနီး, wife, 
police, ရဲတပ်ဖွဲ့, police, 
mind, စိတ်ကို, heart, နှလုံး, heart, 
price, စျေးနှုန်း, price, 
report, အစီရင်ခံစာ, report, 
decision, ဆုံးဖြတ်ချက်, decision, 
son, သား, son, 
