time, समय, time, 
year, वर्ष, year, 
people, मान्छे, people, 
way, बाटो, the way, बाटो, 
day, दिन, day, 
man, मानिस, man, 
thing, चीज, the thing, चीज, 
woman, महिला, woman, 
life, जीवन, life, 
child, बच्चा, child, 
world, संसार, the world, संसार, 
school, स्कूल, school, 
state, राज्य, state, 
family, परिवार, family, 
student, विद्यार्थी, student, 
group, समूह, group, 
country, देश, country, 
problem, समस्या, problem, 
hand, हात, hand, 
part, भाग, part, 
place, राख्नुहोस्, keep it, यसलाई राख, keep it, 
case, मामला, matter, पदार्थ, substance, उपस्थिति, appearance, रूप, form, फारम, form, 
week, हप्ता, week, 
company, कम्पनी, company, 
system, प्रणाली, system, 
program, कार्यक्रम, program, 
question, प्रश्न, the question, प्रश्न, 
work, काम गर्नुहोस्, work out, कसरत, workout, कसरत, 
government, सरकार, government, 
number, संख्या, number, 
night, रात, night, 
mr, श्री, mr., श्री।, mr., 
point, बिन्दु, point, 
home, घर, home, 
water, पानी, water, 
room, कोठा, room, 
mother, आमा, mother, 
area, क्षेत्र, area, 
money, पैसा, money, 
story, कथा, story, 
fact, वास्तवमा, in fact, वास्तबमा, in fact, 
month, महिना, month, 
lot, धेरै, many, धेरै, 
right, दायाँ, right, 
study, अध्ययन गर्नुहोस्, study, 
book, पुस्तक, book, 
eye, आँखा, eye, 
job, काम, work, काम, 
word, शब्द, the word, शब्द, 
business, व्यापार, business, 
issue, मुद्दा, issue, 
side, पक्ष, the party, भोज, the banquet, भोज, 
kind, दयालु, kind, 
head, हेड, head, 
house, घर, home, घर, 
service, सेवा, service, 
friend, मित्र, friend, 
father, बुबा, father, 
power, शक्ति, power, 
hour, घण्टा, hour, 
game, खेल, the game, खेल, 
line, लाइन, line, 
end, अन्त, end, 
member, सदस्य, member, 
law, कानुन, law, 
car, कार, car, 
city, शहर, the city, सहर, the city, 
community, समुदाय, community, 
name, नाम, name, 
president, राष्ट्रपति, president, 
team, टोली, team, 
minute, मिनेट, minutes, मिनेट, 
idea, विचार, the idea, विचार, 
kid, बच्चा, child, बच्चा, 
body, जीउ, live, लाइभ, live, 
information, जानकारी, information, 
back, फिर्ता, back, 
parent, आमाबाबु, parents, अभिभावकहरू, parents, 
face, अनुहार, face, 
others, अरु, others, 
level, स्तर, level, 
office, कार्यालय, office, 
door, ढोका, the door, ढोका, 
health, स्वास्थ्य, health, 
person, व्यक्ति, person, 
art, कला, art, 
war, युद्ध, war, 
history, इतिहास, history, 
party, पार्टी, party, 
result, परिणाम, result, 
change, परिवर्तन, change, 
morning, बिहान, in the morning, बिहानी पख, tomorrow morning, भोलि बिहान, tomorrow morning, 
reason, कारण, the reason, कारण, 
research, अनुसन्धान, research, 
girl, केटी, katie, केटी, 
guy, केटा, boy, केटा, 
food, खाना, food, 
moment, पल, moment, 
air, हावा, air, 
teacher, शिक्षक, teacher, 
force, बलियो, strong, बलियो, 
education, शिक्षा, education, 
foot, foot, 
boy, केटा, boy, 
age, उमेर, age, 
policy, नीति, policy, 
process, प्रक्रिया, process, 
music, संगीत, music, 
market, बजार, market, 
sense, भावना, emotion, भावना, 
nation, राष्ट्र, nation, 
plan, योजना, the plan, योजना, 
college, कलेज, college, 
interest, चासो, interest, 
death, मृत्यु, death, 
experience, अनुभव, experience, 
effect, असर, effect, 
use, प्रयोग गर्नुहोस्, use it, यसको प्रयोग गर, use it, 
class, वर्ग, class, 
control, नियन्त्रण गर्नुहोस्, control, 
care, हेरचाह, care, 
field, क्षेत्र, area, क्षेत्र, 
development, विकास, development, 
role, भूमिका, role, 
effort, प्रयास, effort, 
rate, दर, rate, 
heart, मुटु, heart, 
drug, औषधि, medicine, चिकित्सा, medical, चिकित्सा, 
show, देखाउनु, show it, यसलाई देखाउनुहोस्, show it, 
leader, नेता, leader, 
light, हल्का, lightweight, हल्का, 
voice, आवाज, voice, 
wife, पत्नी, wife, 
police, पुलिस, police, 
mind, मन, mind, 
price, मूल्य, price, 
report, रिपोर्ट गर्नुहोस्, report, 
decision, निर्णय, decision, 
son, छोरा, son, 
view, हेर्नुहोस्, see, हेर्नुहोस्, 
relationship, सम्बन्ध, relationship, 
town, शहर, the city, सहर, the city, 
road, सडक, the road, बाटो, the way, बाटो, 
arm, हात, hand, हात, 
difference, फरक, the difference, फरक, 
value, मूल्य, price, मूल्य, 
building, भवन, the building, भवन, 
action, action, 
model, मोडेल, model, 
season, मौसम, the weather, मौसम, 
society, समाज, society, 
tax, कर, tax, 
director, निर्देशक, director, 
position, स्थिति, status, स्थिति, 
player, खेलाडी, player, 
record, रेकर्ड, record, 
paper, कागज, paper, 
space, ठाउँ, place, स्थान, location, स्थान, 
ground, जमीन, land, भूमि, land, 
form, फारम, form, 
event, घटना, event, 
official, आधिकारिक, official, 
matter, मुद्दा, issue, मुद्दा, 
center, केन्द्र, the center, केन्द्र, 
couple, युगल, couple, 
site, साइट, site, 
project, परियोजना, project, 
activity, गतिविधि, activity, 
star, तारा, star, 
table, तालिका, table, 
need, चाहिन्छ, requires, आवश्यक छ, is required, आवश्यक, required, आवश्यक छ, 
court, अदालत, court, 
american, अमेरिकी, american, 
oil, तेल, oil, 
situation, स्थिति, status, स्थिति, 
