time, tiid, time, 
year, jier, year, 
people, folk, people, 
way, wei, away, fuort, away, 
day, dei, day, 
man, man, 
thing, ding, thing, 
woman, frou, happy, lokkich, happy, 
life, libben, life, 
child, bern, children, bern, 
world, wrâld, world, 
school, skoalle, school, 
state, steat, state, 
family, famylje, family, 
student, studint, student, 
group, groep, group, 
country, lân, country, 
problem, probleem, problem, 
hand, hân, hand, 
part, diel, part, 
place, plak, place, 
case, rjochtsaak, trial, proef, test, toets, key, kaai, key, 
week, wike, week, 
company, bedriuw, company, 
system, systeem, system, 
program, programma, program, 
question, fraach, question, 
work, wurk, work, 
government, regear, government, 
number, nûmer, number, 
night, nacht, night, 
mr, mr, 
point, punt, point, 
home, thús, at home, thús, 
water, wetter, water, 
room, keamer, room, 
mother, mem, mother, 
area, krite, criticize, kritisearje, criticize, 
money, jild, money, 
story, ferhaal, story, 
fact, feit, fact, 
month, moanne, month, 
lot, protte, lot, 
right, rjochts, on the right, rjochts, 
study, studearje, to study, studearje, 
book, boek, book, 
eye, each, eye, 
job, taak, task, taak, 
word, wurd, word, 
business, bedriuw, company, bedriuw, 
issue, útjefte, issue, 
side, side, 
kind, soart, kind, 
head, holle, head, 
house, hûs, home, thús, at home, thús, 
service, betsjinning, operation, operaasje, operation, 
friend, freon, friend, 
father, heit, father, 
power, krêft, power, 
hour, oere, hour, 
game, wedstriid, match, wedstriid, 
line, rigel, line, 
end, ein, on, op, op, 
member, lid, member, 
law, wet, law, 
car, auto, car, 
city, stêd, city, 
community, mienskip, community, 
name, namme, name, 
president, presidint, president, 
team, ploech, team, 
minute, minút, minute, 
idea, idee, idea, 
kid, kid, 
body, lichem, body, 
information, ynformaasje, information, 
back, efter, behind, efter, 
parent, âlder, older, âlder, 
face, gesicht, face, 
others, oaren, others, 
level, peil, peil, 
office, kantoar, office, 
door, doar, door, 
health, sûnens, bless you, sûnens, 
person, persoan, person, 
art, keunst, art, 
war, oarloch, war, 
history, skiednis, history, 
party, feest, party, 
result, resultaat, result, 
change, feroaring, change, 
morning, moarntiid, morning, 
reason, reden, talk, prate, to speak, sprekke, to speak, 
research, ûndersyk, research, 
girl, meisje, girl, 
guy, guy, 
food, iten, food, 
moment, momint, moment, 
air, loft, air, 
teacher, ûnderwizer, teacher, 
force, krêft, power, krêft, 
education, oplieding, training, trening, training, 
foot, foet, foot, 
boy, jonge, boy, 
age, leeftyd, age, 
policy, belied, policy, 
process, proses, process, 
music, muzyk, music, 
market, merk, brand, merk, 
sense, sin, sin, 
nation, folk, people, folk, 
plan, plan, 
college, universiteit, university, universiteit, 
interest, rinte, interest, 
death, dea, death, 
experience, ûnderfining, experience, 
effect, effekt, effect, 
use, brûke, to use, brûke, 
class, klasse, class, 
control, kontrolearje, check, kontrôle, control, 
care, soarch, care, 
field, fjild, field, 
development, ûntwikkeling, development, 
role, rol, role, 
effort, ynspanning, effort, 
rate, taryf, rate, 
heart, hert, heart, 
drug, drug, 
show, sjen, to look, sjen, 
leader, lieder, leader, 
light, ljocht, light, 
voice, lûd, sound, lûd, 
wife, frou, happy, lokkich, happy, 
police, plysje, police, 
mind, geast, spirit, geast, 
price, priis, price, 
report, melde, report, 
decision, beslút, decision, 
son, soan, son, 
view, fisy, vision, fisy, 
relationship, relaasje, relationship, 
town, stêd, city, stêd, 
road, wei, away, fuort, away, 
arm, earm, arm, 
difference, ferskil, difference, 
value, wearde, value, 
building, gebou, building, 
action, aksje, action, 
model, model, 
season, seizoen, season, 
society, maatskippij, society, 
tax, belesting, taxation, belesting, 
director, direkteur, managing director, direkteur, 
position, posysje, position, 
player, spiler, player, 
record, opnimme, take up, opnimme, 
paper, papier, paper, 
space, rûmte, room, keamer, room, 
ground, grûn, ground, 
form, foarm, shape, foarm, 
event, barren, event, 
official, offisjeel, officially, offisjeel, 
matter, ding, thing, ding, 
center, sintrum, center, 
couple, pear, few, stikmannich, some, guon, some, 
site, side, page, side, 
project, projekt, project, 
activity, aktiviteit, activity, 
star, stjer, star, 
table, tafel, table, 
need, need, 
court, rjochtbank, court, 
american, amerikaansk, american, 
oil, oalje, oil, 
situation, sitewaasje, situation, 
cost, kosten, cost, 
industry, yndustry, industry, 
figure, stal, stal, 
street, strjitte, street, 
image, byld, image, 
phone, telefoan, phone, 
data, data, 
picture, foto, photo, foto, 
practice, oefenje, work out, oefenje, 
piece, stik, piece, 
land, lân, country, lân, 
product, produkt, product, 
doctor, dokter, doctor, 
wall, muorre, wall, 
patient, geduldich, patient, 
worker, wurkster, worker, 
news, nijs, news, 
test, toets, key, kaai, key, 
movie, film, film, 
north, noard, north, 
love, leafde, love, 
support, stypje, donate, jouwe, give, jaan, to give, jaan, 
technology, technology, 
step, stap, step, 
baby, poppe, baby, 
computer, kompjûter, computer, 
type, type, 
attention, oandacht, attention, 
film, film, 
republican, republiken, republics, republiken, 
tree, beam, beam, 
source, boarne, source, 
organization, organisaasje, organization, 
hair, hier, here, hjir, over here, hjir, 
look, sjen, to look, sjen, 
century, ieu, century, 
evidence, bewiis, evidence, 
window, finster, window, 
culture, kultuer, culture, 
chance, kâns, chance, 
brother, broer, brother, 
energy, enerzjy, energy, 
period, perioade, period, 
course, ferrin, progress, foarútgong, progress, 
summer, simmer, summer, 
plant, fabryk, factory, fabryk, 
opportunity, gelegenheid, opportunity, 
term, term, 
letter, letter, 
condition, betingst, conditional, bedoeld, intended, bedoeld, 
choice, kar, choose, kieze, choose, 
rule, regel, rule, 
daughter, dochter, daughter, 
administration, bestjoer, government, regear, government, 
south, súd, south, 
husband, man, man, 
congress, kongres, congress, 
floor, flier, floor, 
campaign, kampanje, campaign, 
material, materiaal, material, 
population, befolking, population, 
call, belje, to call, belje, 
economy, ekonomy, economy, 
hospital, sikehûs, hospital, 
church, tsjerke, church, 
risk, risiko, risk, 
fire, fjoer, fire, 
future, takomst, future, 
defense, definsje, defense, 
security, feiligens, security, 
bank, bank, 
west, west, 
sport, sport, 
board, board, 
subject, ûnderwerp, subject matter, ûnderwerp, 
officer, offisier, officer, 
rest, rêst, rest, 
behavior, hâlden en dragen, keep and carry, hâld en drage, keep and carry, 
performance, optreden, performance, 
top, top, 
goal, doelpunt, goal, 
second, twadde, runner up, twadde, 
bed, bêd, bed, 
order, oarder, order, 
author, skriuwer, writer, skriuwer, 
blood, bloed, blood, 
agency, agintskip, agency, 
nature, natuer, nature, 
color, kleur, color, 
store, winkel, shop, winkel, 
sound, lûd, sound, 
movement, beweging, moving, beweging, 
page, side, page, 
race, ras, race, 
concern, soarch, care, soarch, 
series, searje, series, 
language, taal, language, 
response, antwurd, answer, antwurd, 
animal, bist, are you, bisto, are you, 
factor, faktor, factor, 
decade, dekade, decade, 
article, lidwurd, article, 
east, east, 
artist, artyst, artist, 
scene, sêne, scene, 
stock, stock, 
career, karriêre, career, 
treatment, behanneling, treatment, 
approach, oanpak, approach, 
size, grutte, size, 
dog, hûn, dog, 
fund, fûns, fund, 
media, media, 
sign, teken, sign, 
thought, tins, tins, 
list, list, 
individual, yndividueel, individual, 
quality, kwaliteit, quality, 
pressure, druk, pressure, 
answer, antwurd, answer, 
resource, helpmiddel, tool, helpmiddel, 
meeting, moeting, meeting, 
disease, sykte, sickness, sykte, 
success, sukses, good luck, súkses, good luck, 
cup, kop, head, holle, head, 
amount, tal, number, nûmer, number, 
ability, fermogen, ability, 
staff, personiel, staff, 
character, personaazje, character, 
growth, groei, growth, 
loss, ferlies, loss, 
degree, graad, degree, 
attack, oanfal, attack, 
region, regio, region, 
television, televyzje, television, 
box, doaze, box, 
tv, tv, 
training, trening, training, 
trade, handel, trade, 
deal, oerienkomst, agreement, oerienkomst, 
election, ferkiezing, election, 
feeling, gefoel, feeling, 
standard, standert, standard, 
bill, bill, 
message, berjocht, message, 
analysis, analyze, analyze, 
benefit, foardiel, advantage, foardiel, 
sex, seks, sexual intercourse, geslachtsferkear, sexual intercourse, 
lawyer, advokaat, lawyer, 
section, ôfdieling, department, departemint, department, 
glass, glês, glass, 
skill, feardigens, skill, 
sister, suster, sister, 
professor, professor, 
operation, operaasje, operation, 
crime, misdie, misdie, 
stage, podium, podium, 
authority, autoriteit, authority, 
design, ûntwerp, design, 
sort, sort, 
one, ien, one, 
knowledge, kennis, knowledge, 
gun, gun, 
station, stasjon, drive, ride, ride, 
strategy, strategy, 
truth, wierheid, truth, 
song, liet, song, 
example, foarbyld, example, 
environment, miljeu, environment, 
leg, skonk, lean, lean, 
public, iepenbier, public, 
executive, liedingjaand, management, behear, management, 
set, set, 
rock, rots, rock, 
note, noat, note, 
manager, behearder, manager, 
help, help, 
network, netwurk, network, 
science, wittenskip, science, 
memory, oantinken, memory, 
card, kaart, map, map, 
seat, sit, sit, 
cell, sel, sel, 
trial, proef, test, toets, key, kaai, key, 
expert, saakkundige, expert, 
spring, maitiid, spring, 
firm, flink, fast, fluch, quick, gau, soon, gau, 
democrat, demokraat, democracy, demokrasy, democracy, 
radio, radio, 
management, behear, management, 
ball, bal, ball, 
talk, prate, to speak, sprekke, to speak, 
theory, teory, theory, 
impact, impact, 
statement, ferklearring, explanation, ferklearring, 
charge, kosten, cost, kosten, 
direction, rjochting, direction, 
weapon, wapen, coat, jas, coat, 
employee, meiwurker, co-worker, co-worker, 
peace, frede, peace, 
base, basis, basis, 
pain, pine, pine, 
play, toanielstik, play, 
measure, mjitte, measure, 
interview, fraachpetear, poll, poll, 
chair, stoel, chair, 
fish, fisk, fish, 
camera, kamera, camera, 
structure, struktuer, structure, 
politics, polityk, politics, 
bit, bit, 
weight, gewicht, weight, 
candidate, kandidaat, candidate, 
production, produksje, production, 
trip, reis, journey, reis, 
evening, jûn, given, jûn, 
conference, konferinsje, conference, 
unit, ienheid, unity, ienheid, 
style, styl, style, 
adult, folwoeksen, grown ups, folwoeksen, 
range, berik, range, 
past, ferline, past, 
edge, râne, edge, 
writer, skriuwer, writer, 
trouble, lijen, suffering, lijen, 
challenge, útdaging, challenge, 
fear, bangens, fear, 
shoulder, skouder, shoulder, 
institution, ynstelling, institution, 
sea, see, sea, 
dream, dream, 
bar, bar, 
property, besit, possession, besit, 
stuff, guod, goods, guod, 
detail, detail, 
method, metoade, method, 
magazine, tydskrift, magazine, 
hotel, hotel, 
soldier, soldaat, soldier, 
cause, oarsaak, cause, 
bag, pûde, puddle, puddle, 
heat, hjitte, called, neamd, called, 
fall, falle, fall, 
marriage, houlik, marriage, 
surface, oerflak, surface, 
