time, път, road, път, 
year, година, year, 
people, хора, people, 
way, път, road, път, 
day, ден, day, 
man, мъж, man, 
thing, нещо, something, нещо, 
woman, жена, woman, 
life, живот, life, 
child, дете, kid, хлапе, kid, 
world, свят, world, 
school, училище, school, 
state, състояние, condition, състояние, 
family, семейство, family, 
student, студент, student, 
group, група, group, 
country, държава, country, 
problem, проблем, issue, проблем, 
hand, ръка, hand, 
part, част, part, 
place, място, place, 
case, случай, case, 
week, седмица, week, 
company, компания, company, 
system, система, system, 
program, програма, program, 
question, въпрос, question, 
work, работа, work, 
government, правителство, government, 
number, номер, number, 
night, нощ, night, 
mr, г-н, mr, 
point, точка, point, 
home, у дома, at home, вкъщи, at home, 
water, вода, water, 
room, стая, room, 
mother, майка, mother, 
area, ■ площ, ■ area, ■ област, ■ area, 
money, пари, money, 
story, история, history, история, 
fact, факт, fact, 
month, месец, month, 
lot, много, many, много, 
right, прав, right, 
study, проучване, study, 
book, книга, book, 
eye, око, eye, 
job, работа, work, работа, 
word, дума, word, 
business, бизнес, business, 
issue, проблем, issue, 
side, страна, country, държава, country, 
kind, мил, sweetheart, скъпа, baby, бебе, baby, 
head, глава, chapter, глава, 
house, къща, house, 
service, обслужване, service, 
friend, приятел, friend, 
father, баща, father, 
power, мощност, power, 
hour, час, hour, 
game, игра, game, 
line, линия, line, 
end, край, end, 
member, член, member, 
law, закон, law, 
car, кола, car, 
city, град, town, град, 
community, общност, community, 
name, име, name, 
president, президент, president, 
team, екип, team, 
minute, минута, minute, 
idea, идея, idea, 
kid, хлапе, kid, 
body, тяло, body, 
information, информация, information, 
back, обратно, back, 
parent, родител, parent, 
face, лице, face, 
others, други, others, 
level, ниво, level, 
office, офис, office, 
door, врата, door, 
health, здраве, health, 
person, човек, man, мъж, man, 
art, изкуство, art, 
war, война, war, 
history, история, history, 
party, страна, country, държава, country, 
result, резултат, result, 
change, промяна, change, 
morning, сутрин, in the morning, сутринта, in the morning, 
reason, причина, reason, 
research, изследване, research, 
girl, момиче, girl, 
guy, човек, man, мъж, man, 
food, храна, food, 
moment, момент, moment, 
air, въздух, air, 
teacher, учител, teacher, 
force, сила, force, 
education, образование, education, 
foot, крак, leg, крак, 
boy, момче, boy, 
age, възраст, age, 
policy, политика, politics, политика, 
process, процес, process, 
music, музика, music, 
market, пазар, market, 
sense, смисъл, sense, 
nation, нация, nation, 
plan, план, plan, 
college, колеж, college, 
interest, интерес, interest, 
death, смърт, death, 
experience, опит, experience, 
effect, ефект, effect, 
use, употреба, use, 
class, клас, class, 
control, контрол, control, 
care, грижа, care, 
field, поле, field, 
development, развитие, development, 
role, роля, role, 
effort, усилие, effort, 
rate, скорост, speed, скорост, 
heart, сърце, heart, 
drug, лекарство, medicine, медицина, medicine, 
show, шоу, show, 
leader, водач, guide, ръководство, guide, 
light, светлина, light, 
voice, глас, voice, 
wife, съпруга, wife, 
police, полиция, police, 
mind, ум, mind, 
price, цена, price, 
report, доклад, report, 
decision, решение, solution, решение, 
son, син, son, 
view, изглед, view, 
relationship, връзка, connection, връзка, 
town, град, town, 
road, път, road, 
arm, ръка, hand, ръка, 
difference, разлика, difference, 
value, стойност, value, 
building, сграда, building, 
action, действие, action, 
model, модел, model, 
season, сезон, season, 
society, общество, community, общност, community, 
tax, данък, tax, 
director, директор, director, 
position, позиция, position, 
player, плейър, player, 
record, рекорд, record, 
paper, хартия, paper, 
space, пространство, space, 
ground, приземен, grounded, обоснован, grounded, 
form, форма, form, 
event, събитие, event, 
official, официален, official, 
matter, въпрос, question, въпрос, 
center, център, center, 
couple, двойка, couple, 
site, място, place, място, 
project, проект, project, 
activity, дейност, activity, 
star, звезда, star, 
table, маса, table, 
need, трябва, you must, ти трябва, you must, 
court, съдебна зала, court, 
american, американски, american, 
oil, масло, butter, масло, 
situation, ситуация, situation, 
cost, цена, price, цена, 
industry, промишленост, industry, 
figure, фигура, figure, 
street, улица, street, 
image, изображение, image, 
phone, телефон, phone, 
data, данни, data, 
picture, снимка, photo, снимка, 
practice, практика, practice, 
piece, парче, piece, 
land, земя, land, 
product, продукт, product, 
doctor, лекар, doctor, 
wall, стена, wall, 
patient, търпелив, patient, 
worker, работник, worker, 
news, новини, news, 
test, тест, test, 
movie, филм, movie, 
north, север, north, 
love, обичам, i love you, обичам те, i love you, 
support, поддържа, maintains, поддържа, 
technology, технология, technology, 
step, стъпка, step, 
baby, бебе, baby, 
computer, компютър, computer, 
type, тип, type, 
attention, внимание, attention, 
film, филм, movie, филм, 
republican, републикански, republican, 
tree, дърво, wood, дърво, 
source, източник, source, 
organization, организация, organization, 
hair, коса, hair, 
look, виж, see, виждам, i see, виждам, 
century, век, century, 
evidence, доказателства, evidence, 
window, прозорец, window, 
culture, култура, culture, 
chance, шанс, chance, 
brother, брат, brother, 
energy, енергия, energy, 
period, период, period, 
course, курс, course, 
summer, лято, summer, 
plant, растение, plant, 
opportunity, възможност, possibility, възможност, 
term, термин, term, 
letter, писмо, letter, 
condition, състояние, condition, 
choice, избор, choice, 
rule, правило, rule, 
daughter, дъщеря, daughter, 
administration, администрация, administration, 
south, южно, south, 
husband, съпруг, husband, 
congress, конгрес, congress, 
floor, етаж, floor, 
campaign, кампания, campaign, 
material, материал, material, 
population, население, population, 
call, обадете се, call, 
economy, икономика, economy, 
hospital, болница, hospital, 
church, църква, church, 
risk, риск, risk, 
fire, пожар, fire, 
future, бъдеще, future, 
defense, отбрана, defense, 
security, сигурност, security, 
bank, банка, bank, 
west, западно, west, 
sport, спорт, sport, 
board, борд, board, 
subject, предмет, subject matter, предмет, 
officer, офицер, officer, 
rest, почивка, holiday, празник, holiday, 
behavior, поведение, behavior, 
performance, производителност, performance, 
top, връх, peak, връх, 
goal, цел, purpose, предназначение, purpose, 
second, втори, second, 
bed, легло, bed, 
order, поръчка, order, 
author, автор, author, 
blood, кръв, blood, 
agency, агенция, agency, 
nature, природа, nature, 
color, цвят, color, 
store, магазин, shop, магазин, 
sound, звук, sound, 
movement, движение, movement, 
page, страница, page, 
race, раса, race, 
concern, загриженост, concern, 
series, серия, series, 
language, език, language, 
response, отговор, answer, отговор, 
animal, животно, animal, 
factor, фактор, factor, 
decade, десетилетие, a decade, десетилетие, 
article, статия, article, 
east, изток, east, 
artist, художник, painter, художник, 
scene, сцена, scene, 
stock, наличност, availability, наличност, 
career, кариера, career, 
treatment, лечение, treatment, 
approach, подход, approach, 
size, размер, size, 
dog, куче, dog, 
fund, фонд, fund, 
media, средства, funds, финансови средства, funds, 
sign, знак, sign, 
thought, мисъл, thought, 
list, списък, list, 
individual, индивидуален, individual, 
quality, качество, quality, 
pressure, налягане, pressure, 
answer, отговор, answer, 
resource, средство, means, средства, funds, финансови средства, funds, 
meeting, среща, meeting, 
disease, болест, illness, заболяване, disease, 
success, успех, good luck, късмет, good luck, 
cup, чаша, cup, 
amount, количество, quantity, количество, 
ability, способност, ability, 
staff, персонал, staff, 
character, характер, nature, природа, nature, 
growth, растеж, growth, 
loss, загуба, loss, 
degree, степен, degree, 
attack, атака, attack, 
region, област, area, ■ площ, ■ area, ■ област, ■ area, 
television, телевизия, tv, телевизия, 
box, кутия, box, 
tv, телевизия, tv, 
training, обучение, training, 
trade, търговия, trade, 
deal, сделка, deal, 
election, избори, elections, избори, 
feeling, чувство, feeling, 
standard, стандарт, standard, 
bill, законопроект, bill, 
message, съобщение, message, 
analysis, анализ, analysis, 
benefit, облага, benefit, 
sex, секс, sex, 
lawyer, адвокат, lawyer, 
section, раздел, section, 
glass, стъклена чаша, glass, 
skill, умение, skill, 
sister, сестра, sister, 
professor, професор, professor, 
operation, операция, operation, 
crime, престъпление, crime, 
stage, сцена, scene, сцена, 
authority, власт, power, мощност, power, 
design, дизайн, design, 
sort, вид, species, вид, 
one, един, one, 
knowledge, знание, knowledge, 
gun, пистолет, gun, 
station, станция, station, 
strategy, стратегия, strategy, 
truth, истина, true, вярно, true, 
song, песен, song, 
example, пример, example, 
environment, заобикаляща среда, environment, 
leg, крак, leg, 
public, обществен, public, 
executive, изпълнителен, executive, 
set, комплект, kit, комплект, 
rock, рок, rock, 
note, забележка, note, 
manager, мениджър, manager, 
help, помогне, help, 
network, мрежа, network, 
science, наука, science, 
memory, памет, memory, 
card, карта, map, карта, 
seat, седалка, seat, 
cell, клетка, cell, 
trial, пробен период, trial, 
expert, експерт, expert, 
spring, пружина, spring, 
firm, твърд, hard, твърд, 
democrat, демократ, democrat, 
radio, радио, radio, 
management, управление, management, 
ball, топка, ball, 
talk, говоря, i speak, аз говоря, i speak, 
theory, теория, theory, 
impact, въздействие, impact, 
statement, изявление, statement, 
charge, зареждане, loading, зареждане, 
direction, посока, direction, 
weapon, оръжие, weapon, 
employee, служител, employee, 
peace, мир, peace, 
base, база, base, 
pain, болка, pain, 
play, играя, play, 
measure, мярка, measure, 
interview, интервю, interview, 
chair, председател, president, президент, president, 
fish, риба, fish, 
camera, камера, camera, 
structure, структура, structure, 
politics, политика, politics, 
bit, малко, little, малко, 
weight, тегло, weight, 
candidate, кандидат, candidate, 
production, производство, production, 
trip, пътуване, travel, пътуване, 
evening, вечер, in the evening, вечерта, in the evening, 
conference, конференция, conference, 
unit, мерна единица, unit, 
style, стил, style, 
adult, възрастен, adult, 
range, диапазон, range, 
past, минало, past, 
edge, ръб, край, edge, end, край, край, end, end, край, край, 
writer, писател, writer, 
trouble, беда, trouble, 
challenge, предизвикателство, challenge, 
fear, страх, fear, 
shoulder, рамо, shoulder, 
institution, институция, institution, 
sea, море, sea, 
dream, мечта, dream, 
bar, бар, bar, 
property, имот, property, 
stuff, материя, matter, въпрос, question, въпрос, 
detail, детайл, detail, 
method, метод, method, 
magazine, списание, magazine, 
hotel, хотел, hotel, 
soldier, войник, soldier, 
cause, кауза, cause, 
bag, чанта, bag, 
heat, топлина, heat, 
fall, падане, fall, 
marriage, брак, marriage, 
surface, повърхност, surface, 
purpose, предназначение, purpose, 
pattern, модел, model, модел, 
skin, кожа, skin, 
agent, агент, agent, 
owner, собственик, owner, 
machine, машина, machine, 
gas, газ, gas, 
generation, поколение, generation, 
cancer, рак, cancer, 
item, вещ, property, имот, property, 
reality, реалност, reality, 
coach, треньор, coach, 
mrs, г-жа, mrs., госпожа, gentlemen, господа, gentlemen, 
yard, двор, yard, 
violence, насилие, violence, 
investment, инвестиция, investment, 
discussion, дискусия, discussion, 
finger, пръст на ръката, finger, 
garden, градина, garden, 
collection, колекция, collection, 
task, задача, task, 
partner, партньор, partner, 
kitchen, кухня, kitchen, 
consumer, консуматор, consumer, 
shot, изстрел, shot, 
budget, бюджет, budget, 
painting, живопис, painting, 
scientist, учен, scientist, 
agreement, съгласие, consent, съгласие, 
capital, капитал, capital, 
mouth, уста, mouth, 
victim, жертва, sacrifice, жертва, 
newspaper, вестник, newspaper, 
threat, заплаха, threat, 
responsibility, отговорност, responsibility, 
attorney, адвокат, lawyer, адвокат, 
score, резултат, result, резултат, 
account, сметка, account, 
break, почивка, rest, почивка, 
audience, публика, audience, 
dinner, вечеря, dinner, 
vote, гласуване, voting, гласуване, 
debate, дебат, debate, 
citizen, гражданин, citizen, 
majority, мнозинство, majority, 
wind, вятър, wind, 
mission, мисия, mission, 
customer, клиент, client, клиент, 
speech, реч, speech, 
option, опция, option, 
participant, участник, participant, 
forest, гора, forest, 
video, видео, video, 
senate, сенат, senate, 
reform, реформа, reform, 
access, достъп, access, 
restaurant, ресторант, restaurant, 
judge, съдия, judge, 
relation, връзка, connection, връзка, 
bird, птица, bird, 
opinion, мнение, opinion, 
credit, кредит, credit, 
corner, ъглов, angular, ъглов, 
version, версия, version, 
safety, безопасност, safety, 
neighborhood, квартал, neighborhood, 
act, акт, act, 
troop , войска , army , армия , army , 
income, доход, income, 
species, вид, species, 
track, път, road, път, 
hope, надявам се, i hope, надявам се, 
sky, небе, sky, 
freedom, свобода, freedom, 
plane, самолет, airplane, самолет, 
object, обект, object, 
attitude, поведение, behavior, поведение, 
labor, труд, labor, 
concept, понятие, concept, 
client, клиент, client, 
