time, זְמַן, time, 
year, שָׁנָה, year, 
people, אֲנָשִׁים, people, 
way, דֶרֶך, way, 
day, יְוֹם, a day, יום, a day, 
man, איש, man, 
thing, דָבָר, nothing, שום דבר, nothing, 
woman, אִשָׁה, woman, 
life, חַיִים, haim, חיים, haim, 
child, יֶלֶד, boy, יֶלֶד, 
world, עוֹלָם, world, 
school, בית ספר, school, 
state, מדינה, country, מדינה, 
family, מִשׁפָּחָה, family, 
student, סטוּדֶנט, student, 
group, קְבוּצָה, group, 
country, מדינה, country, 
problem, בְּעָיָה, a problem, בעיה, a problem, 
hand, יד, hand, 
part, חֵלֶק, part, 
place, מקום, place, 
case, מקרה, case, 
week, שָׁבוּעַ, week, 
company, חֶברָה, company, 
system, מערכת, editorial board, מערכת, 
program, תכנית, program, 
question, שְׁאֵלָה, a question, שאלה, a question, 
work, עֲבוֹדָה, working, עובד, employee, עוֹבֵד, employee, 
government, מֶמְשָׁלָה, government, 
number, מספר, a number, מספר, 
night, לַיְלָה, night, 
mr, אדון, sir, אֲדוֹנִי, the lord, אדוני, the lord, 
point, נְקוּדָה, point, 
home, בית, home, 
water, מים, water, 
room, חֶדֶר, a room, חדר, a room, 
mother, אִמָא, mother, 
area, אֵזוֹר, area, 
money, כֶּסֶף, of money, של כסף, of money, 
story, כַּתָבָה, story, 
fact, עוּבדָה, fact, 
month, חוֹדֶשׁ, a month, חודש, a month, 
lot, מִגרָשׁ, plot, עלילה, plot, 
right, ימין, right, 
study, לימוד, study, 
book, סֵפֶר, book, 
eye, עַיִן, eye, 
job, עבודה, working, עובד, employee, עוֹבֵד, employee, 
word, מִלָה, word, 
business, עֵסֶק, business, 
issue, נושא, topic, נוֹשֵׂא, topic, 
side, צַד, party, מפלגה, party, 
kind, סוג, type, סוּג, type, 
head, רֹאשׁ, head, 
house, בַּיִת, home, בית, home, 
service, שֵׁרוּת, service, 
friend, חָבֵר, friend, 
father, אַבָּא, father, 
power, כּוֹחַ, force, כּוֹחַ, 
hour, שָׁעָה, time, זְמַן, time, 
game, מִשְׂחָק, play, לְשַׂחֵק, play, 
line, קַו, line, 
end, סוֹף, end, 
member, חבר, friend, חָבֵר, friend, 
law, חוֹק, law, 
car, אוטו, car, 
city, עִיר, city, 
community, הקהילה, community, 
name, שֵׁם, name, 
president, נָשִׂיא, president, 
team, קְבוּצָה, group, קְבוּצָה, 
minute, דַקָה, minute, 
idea, רַעְיוֹן, idea, 
kid, יֶלֶד, boy, יֶלֶד, 
body, גוּף, body, 
information, מֵידָע, information, 
back, חזור, return, לַחֲזוֹר, return, 
parent, הוֹרֶה, parent, 
face, פָּנִים, face, 
others, אחרים, others, 
level, רָמָה, level, 
office, מִשׂרָד, office, 
door, דלת, door, 
health, בְּרִיאוּת, health, 
person, אדם, a person, אדם, 
art, אומנות, craftsmanship, אוּמָנוּת, craftsmanship, 
war, מִלחָמָה, war, 
history, הִיסטוֹרִיָה, history, 
party, מפלגה, party, 
result, תוֹצָאָה, outcome, תוֹצָאָה, 
change, שינוי, change, 
morning, בוקר, morning, 
reason, סיבה, cause, גורם, factor, גורם, 
research, מחקר, research, 
girl, ילדה, girl, 
guy, בָּחוּר, a guy, בחור, a guy, 
food, מזון, food, 
moment, רֶגַע, moment, 
air, אוויר, air, 
teacher, מוֹרֶה, teacher, 
force, כּוֹחַ, force, 
education, חינוך, education, 
foot, כף רגל, foot, 
boy, יֶלֶד, boy, 
age, גיל, age, 
policy, מְדִינִיוּת, policy, 
process, תהליך, process, 
music, מוּסִיקָה, music, 
market, שׁוּק, street market, שוק, street market, 
sense, לָחוּשׁ, sense, 
nation, אוּמָה, nation, 
plan, לְתַכְנֵן, to plan, לתכנן, to plan, 
college, מִכלָלָה, college, 
interest, ריבית, interest, 
death, מוות, death, 
experience, ניסיון, experience, 
effect, השפעה, effect, 
use, להשתמש, to use, להשתמש, 
class, מעמד, status, סטָטוּס, status, 
control, לִשְׁלוֹט, control, 
care, לְטַפֵּל, handle, ידית, handle, 
field, שדה, field, 
development, התפתחות, development, 
role, תַפְקִיד, role, 
effort, מַאֲמָץ, effort, 
rate, ציון, grade, כיתה, class, מעמד, status, סטָטוּס, status, 
heart, לֵב, heart, 
drug, תְרוּפָה, medication, תרופות, medicines, תרופות, 
show, לְהַצִיג, display, לְהַצִיג, 
leader, מַנהִיג, leader, 
light, אוֹר, light, 
voice, קוֹל, voice, 
wife, אשה, woman, אִשָׁה, woman, 
police, מִשׁטָרָה, police, 
mind, אכפת, concern, דְאָגָה, worry, דאגה, worry, 
price, מחיר, price, 
report, להגיש תלונה, report, 
decision, הַחְלָטָה, a decision, החלטה, a decision, 
son, בֵּן, son, 
view, נוף, view, 
relationship, מערכת יחסים, relationship, 
town, העיר, the city, העיר, 
road, כְּבִישׁ, road, 
arm, זְרוֹעַ, arm, 
difference, הֶבדֵל, difference, 
value, ערך, value, 
building, בִּניָן, building, 
action, פעולה, action, 
model, דֶגֶם, model, 
season, עונה, answers, תשובות, answers, 
society, חֶברָה, company, חֶברָה, 
tax, מַס, tax, 
director, מְנַהֵל, director, 
position, עמדה, position, 
player, שחקן, player, 
record, תקליט, record, 
paper, עיתון, newspaper, עיתון, 
space, מֶרחָב, space, 
ground, קרקע, אדמה, soil, soil, קרקע, אדמה, 
form, טופס, form, 
event, מִקרֶה, case, מקרה, case, 
official, רשמי, official, 
matter, חוֹמֶר, material, חוֹמֶר, 
center, מֶרְכָּז, coordinator, רַכָּז, coordinator, 
couple, זוּג, pair, זוג, pair, 
site, אֲתַר, site, 
project, פּרוֹיֶקט, project, 
activity, פעילות, activity, 
star, כוכב, star, 
table, שולחן, table, 
need, צוֹרֶך, need, 
court, בית משפט, court, 
american, אֲמֶרִיקָאִי, american, 
oil, שמן, fat, שמן, 
situation, מַצָב, situation, 
cost, עֲלוּת, cost, 
industry, תַעֲשִׂיָה, industry, 
figure, דמות, character, אופי, character, 
street, רְחוֹב, street, 
image, תמונה, image, 
phone, טלפון, phone, 
data, נתונים, data, 
picture, תְמוּנָה, image, תמונה, image, 
practice, תרגול, practice, 
piece, לְחַבֵּר, connect, לְחַבֵּר, 
land, ארץ, country, מדינה, country, 
product, מוצר, product, 
doctor, דוֹקטוֹר, doctor, 
wall, קִיר, wall, 
patient, סבלני, patient, 
worker, עוֹבֵד, employee, עוֹבֵד, 
news, חֲדָשׁוֹת, news, 
test, מִבְחָן, test, 
movie, סרט, movie, 
north, צָפוֹן, north, 
love, אהבה, love, 
support, תמיכה, support, 
technology, טֶכנוֹלוֹגִיָה, technology, 
step, שלב, stage, שלב, 
baby, תִינוֹק, baby, 
computer, מַחשֵׁב, computer, 
type, סוּג, type, 
attention, תשומת הלב, attention, 
film, סרט צילום, film, 
republican, רֶפּוּבּלִיקָנִי, republican, 
tree, עֵץ, wood, עץ, wood, 
source, מָקוֹר, source, 
organization, אִרגוּן, organization, 
hair, שיער, hair, 
look, תראה, look, 
century, מֵאָה, century, 
evidence, עֵדוּת, testimony, עֵד, until, עד, until, 
window, חַלוֹן, window, 
culture, תַרְבּוּת, culture, 
chance, הִזדַמְנוּת, opportunity, הִזדַמְנוּת, 
brother, אָח, brother, 
energy, אֵנֶרְגִיָה, energy, 
period, פרק זמן, period, 
course, קוּרס, course, 
summer, קַיִץ, summer, 
plant, צמח, plant, 
opportunity, הִזדַמְנוּת, opportunity, 
term, טווח, range, טווח, 
letter, מִכְתָב, letter, 
condition, מַצָב, situation, מַצָב, 
choice, בְּחִירָה, choice, 
rule, כְּלָל, rule, 
daughter, בַּת, a girl, ילדה, girl, ילדה, 
administration, מִנהָל, director, מְנַהֵל, director, 
south, דָרוֹם, south, 
husband, בַּעַל, husband, 
congress, קוֹנגרֶס, congress, 
floor, קוֹמָה, floor, 
campaign, קמפיין, campaign, 
material, חוֹמֶר, material, 
population, אוּכְלוֹסִיָה, population, 
call, שִׂיחָה, call, 
economy, כַּלְכָּלָה, economy, 
hospital, בית חולים, hospital, 
church, כְּנֵסִיָה, church, 
risk, לְהִסְתָכֵּן, risk, 
fire, אֵשׁ, a fire, אש, a fire, 
future, עתיד, future, 
defense, הֲגָנָה, protection, הֲגָנָה, 
security, בִּטָחוֹן, security, 
bank, בַּנק, bank, 
west, מַעֲרָב, west, 
sport, ספּוֹרט, sport, 
board, לוּחַ, board, 
subject, נושא, topic, נוֹשֵׂא, topic, 
officer, קָצִין, officer, 
rest, מנוחה, rest, 
behavior, התנהגות, behavior, 
performance, ביצועים, performence, ביצועים, 
top, חלק עליון, upper part, חלק עליון, 
goal, מטרה, purpose, מַטָרָה, purpose, 
second, שְׁנִיָה, watch, שעון, watch, 
bed, מיטה, a bed, מיטה, 
order, להזמין, order, 
author, מְחַבֵּר, author, 
blood, דָם, blood, 
agency, סוֹכְנוּת, agency, 
nature, טֶבַע, nature, 
color, צֶבַע, color, 
store, חֲנוּת, shop, לִקְנוֹת, buy, לִקְנוֹת, 
sound, נשמע, audible, נִשׁמָע, audible, 
movement, תְנוּעָה, movement, 
page, עמוד, page, 
race, גזע, race, 
concern, דְאָגָה, worry, דאגה, worry, 
series, סִדרָה, series, 
language, שפה, language, 
response, תְגוּבָה, comment, תגובה, comment, 
animal, בעל חיים, animal, 
factor, גורם, factor, 
decade, עָשׂוֹר, decade, 
article, מאמר, article, 
east, מזרח, east, 
artist, אמן, amen, אָמֵן, amen, 
scene, סְצֵינָה, scene, 
stock, המניה, stock, 
career, קריירה, career, 
treatment, יַחַס, ratio, יַחַס, 
approach, גִישָׁה, access, גִישָׁה, 
size, גודל, size, 
dog, כֶּלֶב, dog, 
fund, קֶרֶן, foundation, קרן, foundation, 
media, כְּלֵי תִקְשׁוֹרֶת, media, 
sign, סִימָן, sign, 
thought, מַחֲשָׁבָה, thought, 
list, רשימה, list, 
individual, אִישִׁי, personal, אישי, personal, 
quality, איכות, quality, 
pressure, לַחַץ, pressure, 
answer, תשובה, answer, 
resource, מַשׁאָב, resource, 
meeting, פְּגִישָׁה, appointment, קביעת פגישה, appointment, 
disease, מַחֲלָה, disease, 
success, הַצלָחָה, success, 
cup, גָבִיעַ, goblet, גָבִיעַ, 
amount, כמות, amount, 
ability, יְכוֹלֶת, ability, 
staff, צוות, staff, 
character, אופי, character, 
growth, צְמִיחָה, growth, 
loss, הֶפסֵד, loss, 
degree, תוֹאַר, degree, 
attack, לִתְקוֹף, attack, 
region, אזור, area, אֵזוֹר, area, 
television, טֵלֶוִיזִיָה, tv set, טלויזיה, tv set, 
box, קופסא, box, 
tv, טֵלֶוִיזִיָה, tv set, טלויזיה, tv set, 
training, הַדְרָכָה, instruction, הוראה, teaching, הוֹרָאָה, teaching, 
trade, סַחַר, trade, 
deal, עִסקָה, transaction, עִסקָה, 
election, בְּחִירָה, choice, בְּחִירָה, 
feeling, מַרגִישׁ, feels, מרגיש, feels, 
standard, תֶקֶן, standard, 
bill, שטר כסף, money bill, חשבון כסף, money account, חשבון כסף, 
message, הוֹדָעָה, post, הודעה, post, 
analysis, אָנָלִיזָה, analysis, 
benefit, תועלת, benefit, 
sex, מִין, sex, 
lawyer, עורך דין, lawyer, 
section, סָעִיף, section, 
glass, זכוכית, glass, 
skill, מְיוּמָנוּת, proficiency, מְיוּמָנוּת, 
sister, אָחוֹת, nurse, אָחוֹת, 
professor, פּרוֹפֶסוֹר, professor, 
operation, מבצע, s a l e, s e, s e, 
crime, פֶּשַׁע, crime, 
stage, שלב, stage, 
authority, רָשׁוּת, permission, רְשׁוּת, permission, 
design, לְעַצֵב, to design, לעצב, to design, 
sort, סוג, type, סוּג, type, 
one, אחד, one, 
knowledge, יֶדַע, knowledge, 
gun, אֶקְדָח, gun, 
station, תַחֲנָה, station, 
strategy, אִסטרָטֶגִיָה, strategy, 
truth, אֶמֶת, real, אמיתי, true, נָכוֹן, right, ימין, right, 
song, שִׁיר, a poem, שיר, a poem, 
example, דוגמא, example, 
environment, סביבה, around the, סביב ה, around the, 
leg, רגל, foot, כף רגל, foot, 
public, פּוּמְבֵּי, public, 
executive, מְנַהֵל, director, מְנַהֵל, 
set, מַעֲרֶכֶת, editorial board, מערכת, editorial board, 
rock, סלע, sela, סלע, 
note, הערה, note, 
manager, מנהל, director, מְנַהֵל, director, 
help, עֶזרָה, help, 
network, רֶשֶׁת, network, 
science, מַדָע, science, 
memory, זיכרון, memory, 
card, כַּרְטִיס, card, 
seat, מושב, session, מוֹשָׁב, session, 
cell, תָא, cell, 
trial, מִשׁפָּט, sentence, משפט, sentence, 
expert, מוּמחֶה, expert, 
spring, אביב, spring, 
firm, מוּצָק, solid, מוצק, solid, 
democrat, דֵמוֹקרָט, democrat, 
radio, רָדִיוֹ, radio, 
