time, waqtiga, time, 
year, sano, years, sano, 
people, dadka, people, 
way, habka, the way, jidka, way, 
day, maalin, day, 
man, nin, man, 
thing, shay, shay, 
woman, haweeney, woman, 
life, nolosha, life, 
child, ilmo, baby, ilmaha, baby, 
world, dunida, world, 
school, dugsiga, school, 
state, gobolka, state, 
family, qoyska, family, 
student, arday, student, 
group, koox, a group, koox, 
country, waddanka, country, 
problem, dhibaatada, the problem, dhibaatada, 
hand, gacanta, hand, 
part, qaybta, section, qaybta, 
place, meel, place, 
case, kiis, case, 
week, toddobaad, week, 
company, shirkad, company, 
system, nidaamka, system, 
program, barnaamijka, program, 
question, su'aasha, ask questions, weydii su'aalo, ask questions, 
work, shaqada, work, 
government, dawlad, government, 
number, tirada, number, 
night, habeenkii, at night, habeenkii, 
mr, mudane, honey, malab, malab, 
point, dhibic, point, 
home, guriga, home, 
water, biyaha, water, 
room, qol, qol, 
mother, hooyo, mother, 
area, degaanka, area, 
money, lacag, money, 
story, sheeko, sheeko, 
fact, xaqiiqda, the fact, xaqiiqda, 
month, bisha, month, 
lot, badan, many, dad badan, many people, dad badan, 
right, sax, correct, sax, 
study, waxbarashada, education, waxbarasho, education, 
book, buug, book, 
eye, indhaha, eye, 
job, shaqo, work, shaqada, work, 
word, erey, the word, ereyga, word, 
business, ganacsiga, business, 
issue, arrin, arrin, 
side, dhinaca, side, 
kind, nooca, type, nooca, 
head, madaxa, head, 
house, guri, home, guriga, home, 
service, adeegga, service, 
friend, saaxiib, friend, 
father, aabbe, father, 
power, awooda, power, 
hour, saacad, an hour, saacad, 
game, ciyaarta, play, ciyaar, play, 
line, xariiqa, line, 
end, dhammaad, end, 
member, xubin, member, 
law, sharciga, the law, sharciga, 
car, gaariga, car, 
city, magaalada, city, 
community, bulshada, community, 
name, magaca, name, 
president, madaxweyne, president, 
team, koox, a group, koox, 
minute, daqiiqo, minute, 
idea, fikrad, idea, 
kid, caruur, child, ilmo, baby, ilmaha, baby, 
body, jirka, body, 
information, macluumaadka, information, 
back, dhabarka, the back, dhabarka, 
parent, waalid, parent, 
face, wajiga, face, 
others, kuwa kale, others, 
level, heerka, level, 
office, xafiiska, office, 
door, albaabka, door, 
health, caafimaadka, health, 
person, qof, person, 
art, farshaxanka, art, 
war, dagaal, war, 
history, taariikhda, history, 
party, xisbi, party, 
result, natiijo, result, 
change, isbedel, change, 
morning, subax, morning, 
reason, sabab, cause, sabab, 
research, cilmi baaris, research, 
girl, gabadh, girl, 
guy, nin, man, nin, 
food, cuntada, food, 
moment, daqiiqad, a minute, daqiiqad, 
air, hawada, air, 
teacher, macallin, your teacher, macalinkaaga, your teacher, 
force, xoog, force, 
education, waxbarasho, education, 
foot, cagta, foot, 
boy, wiil, boy, 
age, da'da, at age, da'da, 
policy, siyaasadda, politics, siyaasadda, 
process, geedi socodka, process, 
music, muusikada, in music, muusikada, 
market, suuqa, the market, suuqa, 
sense, dareen, sensation, dareenka, feeling, dareen, 
nation, qaran, qaran, 
plan, qorshaha, plan, 
college, kuleejka, college, 
interest, dulsaar, interest, 
death, dhimasho, death, 
experience, khibrad, experience, 
effect, saameyn, effect, 
use, isticmaal, use it, adeegso, use it, 
class, fasalka, class, 
control, xakamaynta, control, 
care, daryeel, care, 
field, beerta, garden, beerta, 
development, horumarin, develop, horumarin, 
role, doorka, role, 
effort, dadaal, effort, 
rate, sicir, the price, qiimaha, price, qiimo, value, qiimaha, 
heart, wadnaha, heart, 
drug, daroogada, drugs, daroogo, drugs, 
show, muuji, muuji, 
leader, hogaamiye, leader, 
light, iftiin, iftiin, 
voice, cod, cod, 
wife, xaas, wife, 
police, booliska, police, 
mind, maskaxda, brain, maskaxda, 
price, qiimo, value, qiimaha, price, 
report, warbixinta, report, 
decision, go'aanka, decision, 
son, wiil, boy, wiil, 
view, aragtida, vision, aragtida, 
relationship, xiriirka, relationship, 
town, magaalada, city, magaalada, 
road, wadada, the road, wadada, 
arm, gacanta, hand, gacanta, 
difference, kala duwanaansho, differences, kala duwanaanshaha, diversity, kala duwanaanta, diversity, 
