time, denbora, time, 
year, urte, years, urteak, years, 
people, jende, people, 
way, modu, way, 
day, egun, day, 
man, gizon, man, 
thing, gauza, thing, 
woman, emakume, woman, 
life, bizitza, life, 
child, ume, child, 
world, mundu, world, 
school, eskola, school, 
state, estatu, state, 
family, familia, family, 
student, ikasleak, students, ikasleak, 
group, taldeko, in the group, taldea, group, 
country, country, 
problem, arazoa, problem, 
hand, eskua, hand, 
part, parte, part, 
place, leku, place, 
case, kasu, case, 
week, aste, week, 
company, konpainiak, the company, konpainia, company, 
system, sisteman, on the system, sisteman, 
program, programa, program, 
question, galdera, question, 
work, lan, work, 
government, gobernu, government, 
number, zenbakia, number, 
night, gauean, at night, gauean, 
mr, jauna, sir, sir, 
point, puntu, point, 
home, hasiera, start, start, 
water, ur, ur, 
room, gela, room, 
mother, ama, loves, maite, love it, maite dut, i love, maite dut, 
area, inguruan, around, inguruan, 
money, dirua, money, 
story, istorioa, story, 
fact, izan, be, be, 
month, hileko, monthly, hileroko, monthly, 
lot, asko, lots, asko, 
right, eskuineko, right, 
study, azterketa, study, 
book, liburu, book, 
eye, begi, eye, 
job, lana, wool, artile, wool, 
word, hitza, word, 
business, negozio, business, 
issue, alea, grain, pikor, pikor, 
side, alboko, side, 
kind, nolako, what kind, zer nolako, what kind, 
head, burua, head, 
house, etxe, house, 
service, zerbitzu, service, 
friend, lagun, buddy, buddy, 
father, aita, father, 
power, power, 
hour, ordu, hours, ordu, 
game, joko, game, 
line, line, 
end, end, 
member, kidea, member, 
law, legeak, laws, legeak, 
car, autoa, car, 
city, city, 
community, komunitatea, community, 
name, izen, name, 
president, lehendakari, president, 
team, taldeak, groups, talde, group, taldeko, in the group, taldea, group, 
minute, minute, 
idea, ideia, idea, 
kid, txikitan, little boy, mutiko, boy, boy, 
body, body, 
information, informazio, information, 
back, atzera, back, 
parent, guraso, parent, 
face, aurpegia, face, 
others, beste batzuk, others, 
level, maila, level, 
office, bulegoan, in the office, bulegoan, 
door, ate, door, 
health, osasun, health, 
person, pertsona, person, 
art, art, 
war, gerra, war, 
history, historia, history, 
party, festa, party, 
result, emaitza, result, 
change, aldaketaren, change, 
morning, goizean, in the morning, goizean, 
reason, arrazoia, the reason, arrazoia, 
research, ikerketa, research, 
girl, neska, girl, 
guy, zentzuduna, the guy, zentzuduna, 
food, janari, food, 
moment, une, une, 
air, aire, air, 
teacher, irakasle, teacher, 
force, indarrean, force, 
education, hezkuntza, education, 
foot, oinez, walk, oinez, 
boy, mutil, boy, 
age, adina, age, 
policy, politika, politics, politika, 
process, prozesua, process, 
music, musika, music, 
market, merkatua, market, 
sense, zentzu, sense, 
nation, nazioaren, nation, 
plan, plan, 
college, unibertsitatean, at university, unibertsitatean, 
interest, interes, interest, 
death, heriotza, death, 
experience, esperientzia, experience, 
effect, efektu, effect, 
use, erabilera, use, 
class, class, 
control, kontrol, control, 
care, arreta, attention, arreta, 
field, eremu, area, inguruan, around, inguruan, 
development, garapena, development, 
role, rol, role, 
effort, esfortzua, effort, 
rate, tasa, rate, 
heart, bihotz, heart, 
drug, droga, drug, 
show, ikuskizuna, show, 
leader, lider, leader, 
light, argia, light, 
voice, ahotsa, voice, 
wife, emaztea, wife, 
police, poliziaren, the police, polizia, police, 
mind, gogoan, keep in mind, gogoratu, remember, gogoratzen, remember it, gogoratu, 
price, prezioa, price, 
report, txosten, report, 
decision, erabaki, decide, erabaki, 
son, son, 
view, ikuspegi, viewpoint, ikuspuntu, point of view, ikuspuntua, point of view, 
relationship, harremana, relationship, 
town, herri, town, 
road, errepide, road, 
arm, arm, 
difference, aldea, village, herrixka, hamlet, herrixka, 
value, balio, value, 
building, eraikin, buildings, eraikinak, buildings, 
action, ekintza, action, 
model, eredu, model, 
season, denboraldi, season, 
society, gizartea, society, 
tax, zerga, tax, 
director, zuzendaria, director, 
position, posizio, position, 
player, jokalari, player, 
record, erregistro, record, 
paper, paper, 
space, espazioa, space, 
ground, lurrera, to the ground, lurrean, on the floor, lurrean, 
form, inprimaki, form, 
event, gertaera, event, 
official, ofiziala, official, 
matter, materia, matter, 
center, zentro, center, 
couple, pare, stop, gelditu, stop, 
site, gune, site, 
project, proiektu, project, 
activity, jarduera, activity, 
star, izar, star, 
table, taula, table, 
need, behar, need it, behar da, it is needed, beharrezkoa da, it is necessary, beharrezkoa da, 
court, epaitegian, in court, epaitegian, 
american, american, 
oil, olioa, oil, 
situation, egoera, situation, 
cost, kostua, cost, 
industry, industria, industry, 
figure, kopuru, figure, 
street, kalean, in the street, kalean, 
image, irudia, image, 
phone, mugikorra, mobile, mobile, 
data, datuak, data, 
picture, irudi, picture, 
practice, praktika, practice, 
piece, pieza, piece, 
land, lurrak, lands, lurrak, 
product, produktu, products, produktuak, products, 
doctor, medikua, doctor, 
wall, horma, wall, 
patient, pazientzia, patience, pazientzia, 
worker, langilea, worker, 
news, berri, new, new, 
test, proba, test, 
movie, movie, 
north, iparraldean, north, 
love, maite, love it, maite dut, i love, maite dut, 
support, laguntza, help, lagundu, help, 
technology, teknologia, technology, 
step, urrats, steps, urrats, 
baby, umea, child, ume, child, 
computer, ordenagailu, computer, 
type, mota, type, 
attention, arreta, attention, 
film, film, 
republican, errepublikar, republican, 
tree, zuhaitz, tree, 
source, iturria, source, 
organization, antolakuntza, organization, 
hair, ilea, hair, 
look, begiratu, check it out, egiaztatu ezazu, check it out, 
century, mendeko, century, 
evidence, frogak, evidence, 
window, leiho, window, 
culture, kultura, culture, 
chance, aukera, choice, aukera, 
brother, anaia, brother, 
energy, energia, energy, 
period, aldian, periodically, aldiro, periodically, 
course, ikastaroa, course, 
summer, uda, summer, 
plant, landare, plant, 
opportunity, aukera, choice, aukera, 
term, epe, term, 
letter, gutun, letter, 
condition, baldintza, conditions, baldintza, 
choice, aukera, choice, 
rule, arau, rule, 
daughter, alaba, daughter, 
administration, administrazioa, administration, 
south, hego, south, 
husband, senarra, husband, 
congress, kongresua, conference, hitzaldi, conference, 
floor, solairu, floor, 
campaign, kanpaina, campaign, 
material, material, 
population, populazio, population, 
call, deiaren, call, 
economy, ekonomia, economy, 
hospital, hospital, 
church, eliza, church, 
risk, arriskua, risk, 
fire, sute, fire, 
future, etorkizun, future, 
defense, defentsa, defense, 
security, segurtasun, security, 
bank, banku, bank, 
west, mendebaldean, to the west, mendebaldean, 
sport, kirola, sport, 
board, taula, table, taula, 
subject, gaia, theme, gaia, 
officer, ofizial, official, ofiziala, official, 
rest, atsedena, rest, 
behavior, jokabidea, behavior, 
performance, errendimendu, performance, 
top, goiko, top, 
goal, helburua, goal, 
second, bigarren, second, 
bed, ohea, bed, 
order, ordena, order, 
author, egileak, authors, egile, author, 
blood, odol, blood, 
agency, agentzia, agency, 
nature, natura, nature, 
color, kolore, color, 
store, denda, shop, denda, 
sound, soinua, sound, 
movement, mugimendu, movement, 
page, orri, page, 
race, lasterketa, race, 
concern, kezka, concern, 
series, series, 
language, hizkuntza, language, 
response, erantzunik, answer, erantzun, answer, 
animal, animal, 
factor, faktore, factor, 
decade, hamarkada, decade, 
article, artikulu, article, 
east, ekialdean, to the east, ekialdean, 
artist, artistaren, the artist, artistak, artists, artistek, artists, 
scene, eszena, scene, 
stock, stock, 
career, karrera, career, 
treatment, tratamendua, treatment, 
approach, planteamendu, approach, 
size, tamaina, size, 
dog, txakur, dog, 
fund, fondoa, fund, 
media, media, 
sign, zeinu, sign, 
thought, pentsatu, think, uste, think, 
list, zerrenda, list, 
individual, banakako, individual, 
quality, kalitatea, quality, 
pressure, presio, pressure, 
answer, erantzun, answer, 
resource, baliabide, resources, baliabideak, resources, 
meeting, bilera, meeting, 
disease, gaixotasunak, illnesses, gaixotasun, illness, gaixotasun, 
success, arrakasta, success, 
cup, kopa, cup, 
amount, zenbateko, amount, 
ability, gaitasuna, ability, 
staff, langileak, workers, langileak, 
character, pertsonaia, character, 
growth, hazkundea, growth, 
loss, galera, loss, 
degree, gradu, degrees, graduak, degrees, 
attack, eraso, attack, 
region, eskualde, regions, eskualde, 
television, telebistan, on television, telebistan, 
box, box, 
tv, telebista, television, telebistan, on television, telebistan, 
training, prestakuntza, training, 
trade, merkataritza, trade, 
deal, tratua, treated, tratatzen, treats, tratatzen, 
election, hauteskunde, election, 
feeling, sentimendu, feeling, 
standard, estandarra, standard, 
bill, faktura, invoice, faktura, 
message, mezua, message, 
analysis, azterketa, study, azterketa, 
benefit, prestazioa, benefit, 
sex, sexua, sex, 
lawyer, abokatu, lawyer, 
section, atala, chapter, kapitulua, chapter, 
glass, beira, glass, 
skill, trebetasuna, skill, 
sister, arreba, sister, 
professor, irakasle, teacher, irakasle, 
operation, operazioa, operation, 
crime, krimena, crime, 
stage, etapa, stage, 
authority, autoritate, authority, 
design, diseinua, design, 
sort, moduko, kind, nolako, what kind, zer nolako, what kind, 
one, bat, one, 
knowledge, ezagutza, knowledge, 
gun, pistola, gun, 
station, geltoki, station, 
strategy, estrategia, strategy, 
truth, egia, true, egia, 
song, abesti, songs, abestiak, songs, 
example, adibidez, for example, adibidez, 
environment, ingurumena, environment, 
leg, hanka, leg, 
public, publiko, public, 
executive, exekutiboa, executive, 
set, multzo, sets, multzo, 
rock, rock, 
note, ohar, note, 
manager, kudeatzailea, manager, 
help, lagundu, help, 
network, sarea, net, net, 
science, zientzia, science, 
memory, memoria, memory, 
card, txartela, card, 
seat, eserlekua, seat, 
cell, zelula, cell, 
trial, epaiketa, trial, 
expert, aditua, expert, 
spring, udaberri, spring, 
firm, irmo, firm, 
democrat, demokrata, democrat, 
radio, radio, 
management, kudeaketan, in management, kudeaketa, management, 
ball, baloia, ball, 
talk, eztabaida, talk, 
theory, teoria, theory, 
impact, eraginaren, impact, 
statement, adierazpen, expression, adierazpen, 
charge, kobratzen, charging, kargatzen, charging, 
direction, norabidea, direction, 
weapon, arma, weapon, 
employee, langilea, worker, langilea, 
peace, bakea, peace, 
base, base, 
pain, mina, mine, nirea, mine, 
play, jolastu, to play, jolastu, 
measure, neurtu, to size, tamaina, size, tamaina, 
interview, elkarrizketa, conversation, elkarrizketa, 
chair, aulki, chair, 
fish, arrain, fish, 
camera, kamera, camera, 
structure, egitura, structure, 
politics, politika, politics, 
bit, pixka, little bit, pixkabat, a little bit, pixka bat, a little bit, 
weight, pisua, weight, 
candidate, hautagai, candidate, 
production, produkzio, production, 
