time, ùine, time, 
year, bliadhna, year, 
people, daoine, people, 
way, slighe, way, 
day, latha, day, 
man, fear, man, 
thing, rud, thing, 
woman, boireannach, a woman, boireannach, 
life, beatha, life, 
child, leanabh, child, 
world, saoghal, world, 
school, sgoil, school, 
state, stàite, state, 
family, teaghlach, family, 
student, oileanach, student, 
group, buidheann, group, 
country, dùthaich, country, 
problem, duilgheadas, problem, 
hand, làmh, hand, 
part, pàirt, part, 
place, àite, place, 
case, chùis, case, 
week, seachdain, week, 
company, companaidh, company, 
system, siostam, system, 
program, prògram, program, 
question, ceist, question, 
work, obair, work, 
government, riaghaltas, government, 
number, àireamh, number, 
night, oidhche, night, 
mr, mr, 
point, puing, point, 
home, dachaigh, home, 
water, uisge, water, 
room, seòmar, room, 
mother, màthair, mother, 
area, sgìre, area, 
money, airgead, money, 
story, sgeulachd, story, 
fact, fìrinn, truth, fìrinn, 
month, mìos, month, 
lot, mòran, much, mòran, 
right, deas, right, 
study, sgrùdadh, study, 
book, leabhar, book, 
eye, sùilean, eyes, sùilean, 
job, obair, work, obair, 
word, facal, word, 
business, gnìomhachas, business, 
issue, cùis, case, chùis, case, 
side, taobh, side, 
kind, caoimhneil, kindness, caoimhneas, kindness, 
head, ceann, head, 
house, taigh, house, 
service, seirbheis, service, 
friend, caraid, friend, 
father, athair, father, 
power, cumhachd, power, 
hour, uair, hour, 
game, gèam, game, 
line, loidhne, online, air-loidhne, online, 
end, deireadh, end, 
member, ball, ball, 
law, lagh, law, 
car, càr, car, 
city, bhaile, town, bhaile, 
community, coimhearsnachd, community, 
name, ainm, name, 
president, ceann-suidhe, president, 
team, sgioba, team, 
minute, mionaid, minute, 
idea, smaoineachadh, think, smaoineachadh, 
kid, aodach, clothes, aodach, 
body, corp, body, 
information, fiosrachadh, information, 
back, air ais, back, 
parent, pàrant, parent, 
face, aghaidh, face, 
others, feadhainn eile, others, 
level, ìre, level, 
office, oifis, office, 
door, doras, door, 
health, slàinte, cheers, slàinte, 
person, neach, person, 
art, ealain, art, 
war, cogadh, war, 
history, eachdraidh, history, 
party, pàrtaidh, party, 
result, toradh, produce, a 'dèanamh, doing, a 'dèanamh, 
change, atharrachadh, changed, atharrachadh, 
morning, madainn, morning, 
reason, adhbhar, purpose, adhbhar, 
research, rannsachadh, explored, sgrùdadh, study, sgrùdadh, 
girl, nighean, daughter, nighean, 
guy, guy, 
food, biadh, food, 
moment, mionaid, minute, mionaid, 
air, air, 
teacher, tidsear, teacher, 
force, feachd, the army, an t-arm, the army, 
education, foghlam, education, 
foot, cas, cas, 
boy, balach, boy, 
age, aois, age, 
policy, poileasaidh, policy, 
process, phròiseas, process, 
music, ceòl, music, 
market, margaidh, market, 
sense, mothachadh, awareness, mothachadh, 
nation, dùthaich, country, dùthaich, 
plan, plana, plan, 
college, cholaiste, college, 
interest, ùidh, interest, 
death, bàs, death, 
experience, eòlas, knowledge, eòlas, 
effect, buaidh, impact, buaidh, 
use, cleachdadh, used, cleachdadh, 
class, clas, class, 
control, smachd, control, 
care, cùram, care, 
field, achadh, field, 
development, leasachadh, developed, air a leasachadh, developed, 
role, dreuchd, post, post, 
effort, oidhirp, effort, 
rate, ìre, level, ìre, 
heart, cridhe, heart, 
drug, druga, drug, 
show, sealltainn, shown, air a shealltainn, shown, 
leader, ceannard, headteacher, ceannard na sgoile, head of the school, ceannard na sgoile, 
light, solas, light, 
voice, guth, voice, 
wife, bhean, wife, 
police, poileas, police, 
mind, inntinn, mind, 
price, prìs, price, 
report, aithisg, report, 
decision, co-dhùnadh, decision, 
son, mac, son, 
view, sealladh, sight, sealladh, 
relationship, càirdeas, friendship, càirdeas, 
