time, เวลา, time, 
year, ปี, year, 
people, คน, person, คน, 
way, ทาง, way, 
day, วัน, day, 
man, ชาย, male, ชาย, 
thing, สิ่ง, thing, 
woman, หญิง, female, หญิง, 
life, ชีวิต, life, 
child, เด็ก, child, 
world, โลก, earth, โลก, 
school, โรงเรียน, school, 
state, สถานะ, status, สถานะ, 
family, ครอบครัว, family, 
student, นักเรียน, the student, นักเรียน, 
group, กลุ่ม, group, 
country, ประเทศ, country, 
problem, ปัญหา, issue, ปัญหา, 
hand, มือ, hand, 
part, ส่วนหนึ่ง, one part, ส่วนหนึ่ง, 
place, สถานที่, place, 
case, กรณี, case, 
week, สัปดาห์, week, 
company, บริษัท, company, 
system, ระบบ, system, 
program, โครงการ, project, โครงการ, 
question, คำถาม, question, 
work, งาน, work, 
government, รัฐบาล, the government, รัฐบาล, 
number, จำนวน, number, 
night, กลางคืน, night, 
mr, นาย, mr., นาย., mr., 
point, จุด, point, 
home, บ้าน, home, 
water, น้ำ, water, 
room, ห้อง, room, 
mother, แม่, mom, แม่, 
area, พื้นที่, area, 
money, เงิน, money, 
story, เรื่องราว, a story, เรื่องราว, 
fact, ความจริง, truth, ความจริง, 
month, เดือน, month, 
lot, จำนวนมาก, lots of, จำนวนมาก, 
right, ขวา, right, 
study, ศึกษา, study, 
book, หนังสือ, book, 
eye, ตา, eye, 
job, งาน, work, งาน, 
word, คำ, words, คำ, 
business, ธุรกิจ, business, 
issue, ปัญหา, issue, 
side, ด้าน, side, 
kind, ชนิด, type, ชนิด, 
head, หัว, head, 
house, บ้าน, home, บ้าน, 
service, บริการ, service, 
friend, เพื่อน, friend, 
father, พ่อ, father, 
power, อำนาจ, power, 
hour, ชั่วโมง, hour, 
game, เกม, game, 
line, เส้น, line, 
end, ปลาย, end, 
member, สมาชิก, member, 
law, กฎหมาย, the laws, กฎหมาย, 
car, รถ, car, 
city, เมือง, city, 
community, ชุมชน, community, 
name, ชื่อ, name, 
president, ประธาน, president, 
team, ทีม, team, 
minute, นาที, minute, 
