time, время, time, 
year, год, year, 
people, люди, people, 
way, путь, way, 
day, день, day, 
man, человек, human, человек, 
thing, вещь, thing, 
woman, женщина, female, женский пол, female, 
life, жизнь, a life, жизнь, 
child, ребенок, child, 
world, мир, peace, мир, 
school, школа, school, 
state, государство, state, 
family, семья, a family, семья, 
student, студент, student, 
group, группа, group, 
country, страна, a country, страна, 
problem, проблема, problem, 
hand, рука, arm, рука, 
part, часть, part, 
place, место, a place, место, 
case, дело, a business, бизнес, business, бизнес, 
week, неделю, a week, неделя, a week, 
company, компания, company, 
system, система, system, 
program, программа, program, 
question, вопрос, question, 
work, работа, job, работа, 
government, правительство, government, 
number, номер, number, 
night, ночь, night, 
mr, мистер, mister, господин, mister, 
point, точка, dot, точка, 
home, главная, home, 
water, воды, water, 
room, комната, room, 
mother, мама, mama, мама, 
area, площадь, area, 
money, деньги, money, 
story, история, history, история, 
fact, факт, fact, 
month, месяц, month, 
lot, много, a lot of, много, 
right, правильно, correctly, правильно, 
study, изучение, study, 
book, книга, book, 
eye, глаз, eye, 
job, работа, job, 
word, слово, word, 
business, бизнес, business, 
issue, вопрос, question, вопрос, 
side, боковая сторона, side, 
kind, своего рода, kind, 
head, глава, chapter, глава, 
house, дом, house, 
service, оказание услуг, provision of services, предоставление услуг, provision of services, 
friend, друг, friend, 
father, отец, father, 
power, мощность, power, 
hour, час, hour, 
game, игра, a game, игра, 
line, линия, line, 
end, конец, end, 
member, член, member, 
law, закон, law, 
car, автомобиль, car, 
city, город, city, 
community, сообщество, community, 
name, имя, name, 
president, президент, the president, президент, 
team, команда, command, команда, 
minute, минут, minutes, минут, 
idea, идея, idea, 
kid, дитя, child, ребенок, child, 
body, тело, body, 
information, информация, information, 
back, назад, backward, назад, 
parent, родитель, parent, 
face, лицо, face, 
others, другие, others, 
level, уровень, level, 
office, офис, office, 
door, дверь, door, 
health, здоровье, health, 
person, человек, human, человек, 
art, изобразительное искусство, art, 
war, война, war, 
history, история, history, 
party, вечеринка, a party, вечеринка, 
result, результат, result, 
change, изменение, change, 
morning, утро, morning, 
reason, причина, cause, причина, 
research, исследование, study, изучение, study, 
girl, девушка, girl, 
guy, парень, guy, 
food, питание, food, 
moment, момент, moment, 
air, воздух, air, 
teacher, учитель, teacher, 
force, сила, force, 
education, образование, education, 
foot, фут, foot, 
boy, мальчик, boy, 
age, возраст, age, 
policy, политика, policy, 
process, обработать, handle, ручка, a pen, ручка, 
music, музыка, music, 
market, рынок, market, 
sense, смысл, meaning, имея в виду, i mean, я имею в виду, i mean, 
nation, нация, nation, 
plan, план, plan, 
college, колледж, college, 
interest, интерес, interest, 
death, смерть, death, 
experience, опыт, an experience, опыт, 
