time, panahon, time, 
year, tuig, year, 
people, mga tawo, people, 
way, paagi, way, 
day, adlaw, day, 
man, tawo, man, 
thing, butang, things, mga butang, things, 
woman, babaye, woman, 
life, kinabuhi, life, 
child, bata, young, batan-on, young, 
world, kalibutan, world, 
school, eskwela, school, 
state, estado, state, 
family, pamilya, family, 
student, estudyante, student, 
group, grupo, group, 
country, nasud, country, 
problem, problema, problem, 
hand, kamot, hand, 
part, bahin, sneezing, pagbangotan, mourning, pagbangotan, 
place, dapit, toward, paingon, to, sa, on, sa, 
case, kaso, case, 
week, semana, semana, 
company, kompaniya, company, 
system, sistema, system, 
program, programa, program, 
question, pangutana, question, 
work, trabaho, work, 
government, gobyerno, government, 
number, gidaghanon, number, 
night, gabii, night, 
mr, mr, 
point, punto, point, 
home, home, 
water, tubig, water, 
room, lawak, extent, gidak-on, area, lugar, place, dapit, toward, paingon, to, sa, on, sa, 
mother, inahan, mother, 
area, lugar, place, dapit, toward, paingon, to, sa, on, sa, 
money, salapi, money, 
story, istorya, story, 
fact, kamatuoran, truth, kamatuoran, 
month, bulan, month, 
lot, daghan, more, labaw pa, more, 
right, husto, right, 
study, pagtuon, study, 
book, libro, book, 
eye, mata, eye, 
job, trabaho, work, trabaho, 
word, pulong, meeting, miting, meeting, 
business, negosyo, business, 
issue, isyu, issues, isyu, 
side, kilid, border, utlanan, border, 
kind, mabination, kind, 
head, ulo, head, 
house, balay, house, 
service, serbisyo, service, 
friend, higala, friends, mga higala, friends, 
father, amahan, father, 
power, gahum, power, 
hour, oras, time, panahon, time, 
game, game, 
line, linya, line, 
end, katapusan, end, 
member, nga miyembro, member, 
law, balaod, law, 
car, sakyanan, vehicles, mga sakyanan, cars, mga sakyanan, 
city, lungsod, city, 
community, komunidad, community, 
name, ngalan, name, 
president, presidente, president, 
team, team, 
minute, minutos, minutos, 
idea, ideya, overview, kasagaran, often, kanunay, often, 
kid, kid, 
body, lawas, bodies, mga lawas, bodies, 
information, impormasyon, information, 
back, balik, return, mobalik, return, 
parent, ginikanan, parents, mga ginikanan, parents, 
face, nawong, face, 
others, ang uban, others, 
level, lebel, levels, lebel, 
office, opisina, office, 
door, pultahan, gate, ganghaan, gates, mga ganghaan, gates, 
health, panglawas, health, 
person, tawo, man, tawo, 
art, art, 
war, gubat, woods, kakahoyan, trees, mga kahoy, trees, 
history, kasaysayan, history, 
party, party, 
result, resulta, result, 
change, pagbag-o, renewal, pagbag-o, 
morning, sa buntag, in the morning, sa buntag, 
reason, rason, reason, 
research, pagsiksik, hustle, hustle, 
girl, babaye, woman, babaye, 
guy, lalaki, man, tawo, man, 
food, pagkaon, food, 
moment, panahon, time, panahon, 
air, hangin, wind, hangin, 
teacher, magtutudlo, teacher, 
force, kusog, strength, kusog, 
education, edukasyon, education, 
foot, tiil, foot, 
boy, lalaki, man, tawo, man, 
age, edad, age, 
policy, palisiya, policy, 
process, proseso, process, 
music, musika, music, 
market, merkado, market, 
sense, pagbati, congratulations, gipahalipay, gipahalipay, 
nation, nasud, country, nasud, 
plan, plano, plan, 
college, kolehiyo, college, 
interest, interes, interest, 
death, kamatayon, death, 
experience, kasinatian, experience, 
effect, epekto, effect, 
use, paggamit, use, 
class, klase, class, 
control, pagkontrol, controlling, pagkontrol, 
care, pag-amuma, caring, pag-amuma, 
